,validDate,stoxxId,currency,adjustedOpenPrice,adjustedOpenNet,adjustedOpenGross,adjustmentFactor,closePrice,freeFloat,shares,Capfactor
174,20240229,CN0JUC,CNY,6.27,6.27,6.27,,6.83,0.838,1259898562.0,
175,20240229,CN0FWA,CNY,18.24,18.24,18.24,,18.48,0.7006,2250986609.0,
176,20240229,IN01X3,INR,169.4,169.4,169.4,,169.95,0.4889,2936127276.0,1.0
177,20240229,PL107I,PLN,0.634,0.634,0.634,,0.62,0.81,84205008.0,1.0
178,20240229,CN16JP,CNY,4.1,4.1,4.1,,4.18,0.4571,3589351913.0,
179,20240229,CN0RH7,CNY,6.2,6.2,6.2,,6.28,0.6526,1730339644.0,
180,20240229,715363,PLN,546.0,546.0,546.0,,549.5,0.3259,102189314.0,1.0
181,20240229,KR12AO,KRW,48100.0,48100.0,48100.0,,46550.0,0.5469,33796962.0,1.0
182,20240229,NO101D,NOK,143.8,143.8,143.8,,144.4,0.9101,144215590.0,1.0
183,20240229,680434,JPY,1114.5,1114.5,1114.5,,1089.0,1.0,207528202.0,1.0
184,20240229,US20NB,USD,75.59,75.59,75.59,,75.33,1.0,89484712.0,1.0
185,20240229,621481,AUD,5.94,5.94,5.94,,5.99,0.2841,1103088419.0,1.0
186,20240229,NO504K,NOK,71.9,71.9,71.9,,73.15,1.0,166968888.0,1.0
187,20240229,CN0335,CNY,10.49,10.49,10.49,,10.69,0.4221,2393912273.0,
188,20240229,TW306Y,TWD,241.0,241.0,241.0,,242.5,0.9453,163309091.0,1.0
189,20240229,CN0KH0,CNY,4.35,4.35,4.35,,4.68,0.797,739757400.0,
190,20240229,CN0EJW,CNY,1.47,1.47,1.47,,1.49,0.7545,2509244757.0,
191,20240229,VN20M6,VND,13400.0,13400.0,13400.0,,13250.0,0.203,381541911.0,
192,20240229,IL209E,ILS,9.753,9.753,9.753,,10.04,0.5327,61634251.0,1.0
193,20240229,CN18KS,CNY,5.04,5.04,5.04,,5.54,0.6512,669004950.0,
194,20240229,AU404C,AUD,1.265,1.265,1.265,,1.265,1.0,809506134.0,1.0
195,20240229,TW026X,TWD,15.3,15.3,15.3,,15.25,0.7287,1965843994.0,1.0
196,20240229,416279,EUR,136.6,136.6,136.6,,137.05,0.4871,210210140.0,1.0
197,20240229,CN1J8R,CNY,8.08,8.08,8.08,,8.16,0.2529,8715578165.0,
198,20240229,NG20SX,NGN,12.98,12.98,12.98,,12.99,0.9075,40647990293.0,
199,20240229,CA40RH,CAD,6.72,6.72,6.72,,6.62,0.8809,159638699.0,1.0
200,20240229,CN1CAM,CNY,4.84,4.84,4.84,,5.03,0.6255,953992980.0,
201,20240229,IN03T1,INR,394.35,394.35,394.35,,403.55,0.398,625364182.0,1.0
202,20240229,AU00KO,AUD,1.12,1.12,1.12,,1.145,0.8093,1631858262.0,1.0
203,20240229,PH045F,PHP,913.0,913.0,913.0,,940.0,0.5603,1222023358.0,0.7139033
204,20240229,KR00HS,KRW,119600.0,119600.0,119600.0,,117100.0,0.5239,100655564.0,1.0
205,20240229,CL00DA,CLP,111.0,111.0,111.0,,112.0,0.5366,101017081114.0,1.0
206,20240229,CN0PYM,CNY,11.39,11.39,11.39,,11.95,0.7457,1550211950.0,
207,20240229,642844,JPY,6680.0,6680.0,6680.0,,6750.0,0.8333,14024365.0,1.0
208,20240229,TW0470,TWD,32.35,32.35,32.35,,33.0,0.8655,1180000195.0,1.0
209,20240229,CN07QW,CNY,6.46,6.46,6.46,,6.54,0.4303,2050769509.0,
210,20240229,IN09Q4,INR,1552.0,1552.0,1552.0,,1560.0,0.3401,94845853.0,1.0
211,20240229,TH205H,THB,0.94,0.94,0.94,,0.85,0.8146,5279840828.0,0.3172109
212,20240229,087061,GBP,0.46575,0.46575,0.46575,,0.4657,1.0,63557085373.0,1.0
213,20240229,KMX,USD,76.71,76.71,76.71,,79.0,1.0,158668229.0,1.0
214,20240229,GB40XS,GBP,46.0,46.0,46.0,,47.1,0.797,45766293.0,1.0
215,20240229,CN00DC,HKD,4.18,4.18,4.18,,4.17,0.6404,14882162977.0,1.0
216,20240229,CN16Y4,CNY,13.51,13.51,13.51,,13.93,0.6019,1482507116.0,
217,20240229,FBAN,USD,13.31,13.31,13.31,,13.34,1.0,358828542.0,1.0
218,20240229,KR153K,KRW,2080.0,2080.0,2080.0,,2040.0,0.7082,50848535.0,1.0
219,20240229,653611,HKD,20.75,20.75,20.75,,20.65,0.3394,10572780266.0,1.0
220,20240229,JP206G,JPY,3070.0,3070.0,3070.0,,3050.0,0.8144,36100000.0,1.0
221,20240229,IN2018,INR,164.95,164.95,164.95,,167.2,0.3407,2486270658.0,1.0
222,20240229,KR01T5,KRW,23050.0,23050.0,23050.0,,22700.0,0.3914,25000000.0,1.0
223,20240229,JP10LU,JPY,2280.0,2280.0,2280.0,,2236.0,0.4389,31413473.0,
224,20240229,598411,EUR,1.7,1.7,1.7,,1.705,0.1185,582613138.0,
225,20240229,636961,HKD,2.05,2.05,2.05,,2.02,0.7614,1613098518.0,1.0
226,20240229,NO10EQ,NOK,6.22,6.22,6.22,,6.25,0.9199,497463195.0,1.0
227,20240229,MY50J8,MYR,1.75,1.75,1.75,,1.72,0.8876,497947555.0,
228,20240229,TW0593,TWD,19.95,19.95,19.95,,20.5,0.7132,1455831342.0,1.0
229,20240229,NG20CH,NGN,9.65,9.65,9.65,,10.4,1.0,32012211331.0,
230,20240229,RO402L,RON,50.6,50.6,50.6,,50.0,0.2999,385422400.0,
231,20240229,528648,CHF,104.0,104.0,104.0,,102.6,1.0,15792461.0,1.0
232,20240229,CN0EU7,CNY,4.47,4.47,4.47,,4.56,0.3049,6520949388.0,
233,20240229,MY23H6,MYR,0.4,0.4,0.4,,0.395,0.4421,738563602.0,1.0
234,20240229,NZ105S,NZD,2.27,2.27,2.27,,2.24,1.0,502129313.0,
235,20240229,IN0319,INR,917.05,917.05,917.05,,883.85,0.3271,148911400.0,1.0
236,20240229,BR10LO,BRL,55.72,55.72,55.72,,54.48,0.2159,1663556731.0,1.0
237,20240229,PCH,USD,44.86,44.86,44.86,,45.21,1.0,79628000.0,1.0
238,20240229,TW00WL,TWD,40.1,40.1,40.1,,40.45,0.7372,3546562881.0,1.0
239,20240229,655470,JPY,1542.0,1542.0,1542.0,,1535.5,0.9044,274845024.0,1.0
240,20240229,CN0Z1Z,CNY,5.34,5.34,5.34,,5.59,1.0,1096494683.0,
241,20240229,B1B59T,PLN,3.21,3.21,3.21,,3.17,0.4941,574680673.0,1.0
242,20240229,TW036Y,TWD,229.5,229.5,229.5,,233.0,1.0,425364437.0,1.0
243,20240229,633155,HKD,1.13,1.13,1.13,,1.14,0.4175,2784074948.0,1.0
244,20240229,513082,TRY,159.2,159.2,159.2,,157.0,0.2056,191447068.0,1.0
245,20240229,444758,PLN,4.33,4.33,4.33,,4.37,0.34,412690582.0,1.0
246,20240229,U0042,USD,42.01,42.01,42.01,,42.27,1.0,643463433.0,0.25
247,20240229,CN2607,USD,1.308,1.308,1.308,,1.319,1.0,66000000.0,1.0
248,20240229,CA11ZN,CAD,6.92,6.92,6.92,,6.76,0.8781,84031646.0,1.0
249,20240229,635060,SGD,1.05,1.05,1.05,,1.05,0.127,1455298220.0,
250,20240229,AU50HQ,AUD,6.6,6.6,6.6,,6.8,0.9378,85074288.0,1.0
251,20240229,635700,JPY,6350.0,6350.0,6350.0,,6380.0,0.7906,67400000.0,1.0
252,20240229,BR00SU,BRL,36.91,36.91,36.91,,36.69,0.3542,4197317998.0,1.0
253,20240229,MY228W,MYR,1.83,1.83,1.83,,1.86,0.305,799685200.0,1.0
254,20240229,549913,EUR,1.6835,1.6835,1.6835,,1.68,0.5,3132905277.0,1.0
255,20240229,694883,AUD,65.94,65.94,65.94,,66.64,1.0,1134514310.0,1.0
256,20240229,EB379,GBP,0.1347,0.1347,0.1347,,0.13,0.8755,1885924339.0,1.0
257,20240229,TW11VM,TWD,71.4,71.4,71.4,,73.0,0.7062,236216000.0,1.0
258,20240229,SG10KT,SGD,1.03,1.03,1.03,,1.02,0.3597,487757348.0,
259,20240229,CN0XEA,CNY,7.16,7.16,7.16,,7.49,0.895,1233434416.0,
260,20240229,659724,JPY,429.0,429.0,429.0,,433.0,0.936,162673321.0,1.0
261,20240229,UC007,EUR,199.0,199.0,199.0,,199.0,0.5093,1331650.0,
262,20240229,ZA20DO,ZAR,99.73,99.73,99.73,,97.65,0.7445,192602355.0,1.0
263,20240229,478321,EUR,1.818,1.818,1.818,,1.822,0.5143,1300931377.0,1.0
264,20240229,KR16TB,KRW,34050.0,34050.0,34050.0,,32900.0,0.5424,23291736.0,1.0
265,20240229,IN122A,INR,536.05,536.05,536.05,,541.75,0.487,243089931.0,1.0
266,20240229,U0170,USD,128.7,128.7,128.7,,128.54,0.9262,52818076.0,1.0
267,20240229,CA307W,CAD,82.43,82.43,82.43,,76.3,1.0,57153679.0,1.0
268,20240229,MX007Q,MXN,214.5,214.5,214.5,,214.92,0.472,397475747.0,1.0
269,20240229,PE2016,PEN,2.14,2.14,2.14,,2.1,0.483,3134886677.0,
270,20240229,PT402O,EUR,3.65,3.65,3.65,,3.635,0.8627,143915000.0,1.0
271,20240229,KR14M2,KRW,1551.0,1551.0,1551.0,,1568.0,0.5665,201173933.0,1.0
272,20240229,TW172Z,TWD,76.0,76.0,76.0,,74.9,1.0,277616993.0,
273,20240229,B08TZQ,EUR,7.43,7.43,7.43,,7.425,0.5522,132366672.0,1.0
274,20240229,CN0QE3,CNY,2.79,2.79,2.79,,2.81,0.5363,7340590677.0,
275,20240229,IN04W5,INR,2.16,2.16,2.16,,2.06,0.6966,12806721310.0,1.0
276,20240229,TW00LA,TWD,31.65,31.65,31.65,,32.6,0.7623,5352875227.0,1.0
277,20240229,CN0UXQ,CNY,3.02,3.02,3.02,,3.1,0.6113,11708552848.0,
278,20240229,MY20WI,MYR,0.315,0.315,0.315,,0.295,0.6852,846423985.0,1.0
279,20240229,613210,JPY,6381.0,6381.0,6381.0,,6446.0,0.8925,713698221.0,1.0
280,20240229,TH21R4,THB,1.39,1.39,1.39,,1.39,0.4429,18935235000.0,0.541883
281,20240229,AVB,USD,176.37,176.37,176.37,,177.03,1.0,142013995.0,1.0
282,20240229,TW4092,TWD,38.4,38.4,38.4,,38.35,0.7776,83840000.0,1.0
283,20240229,CL02KJ,CLP,272.0,272.0,272.0,,271.0,0.6648,4042335913.0,
284,20240229,689380,JPY,338.0,338.0,338.0,,340.0,1.0,252500000.0,1.0
285,20240229,PH04R1,PHP,0.71,0.71,0.71,,0.72,0.3533,24249759509.0,
286,20240229,KR06S9,KRW,8310.0,8310.0,8310.0,,8340.0,0.5547,107255342.0,1.0
287,20240229,674405,JPY,1324.0,1324.0,1324.0,,1342.0,0.7397,38397500.0,1.0
288,20240229,B18XCB,RON,30.5,30.5,30.5,,30.0,0.3483,73303142.0,
289,20240229,KR11HU,KRW,49850.0,49850.0,49850.0,,48400.0,0.2132,23533928.0,1.0
290,20240229,026256,GBP,8.124,8.124,8.124,,8.102,1.0,1373799527.0,1.0
