,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
297,20240531,US008U,USD,2.82,0.2559,3842461994.0,1.0
298,20240531,413366,EUR,67.7,0.9449,1147477409.0,1.0
299,20240531,190462,GBP,3.86,1.0,273345603.0,1.0
300,20240531,TH40ES,THB,0.82,0.39,6853719295.0,0.5469231
301,20240531,521638,PLN,863.0,1.0,9650152.0,1.0
302,20240531,CN0FES,CNY,6.96,0.5356,547397500.0,
303,20240531,KR11LY,KRW,15640.0,0.8913,18900000.0,1.0
304,20240531,MY23J8,MYR,2.22,0.6509,2557871616.0,1.0
305,20240531,CA308X,CAD,13.5,0.7336,81174704.0,1.0
306,20240531,400702,CHF,34.14,1.0,168426561.0,1.0
307,20240531,CN18DL,CNY,7.11,0.6457,1901073701.0,
308,20240531,MDU,USD,25.24,1.0,203638373.0,1.0
309,20240531,KR05FV,KRW,57200.0,0.6846,16039185.0,1.0
310,20240531,KR20KX,KRW,12840.0,0.3251,48648709.0,1.0
311,20240531,CN0G4J,CNY,5.85,0.452,1728184696.0,
312,20240531,HD,USD,334.87,1.0,995261844.0,1.0
313,20240531,CDE,USD,5.75,1.0,382609677.0,1.0
314,20240531,B1FF8P,JPY,1073.0,0.6956,1489323590.0,1.0
315,20240531,TW01RH,TWD,9.89,0.849,1016824808.0,1.0
316,20240531,689544,JPY,3525.0,1.0,400452159.0,1.0
317,20240531,CN0SSJ,CNY,3.56,0.5013,3415381492.0,
318,20240531,IN08S5,INR,198.55,0.7588,781774431.0,1.0
319,20240531,492211,PLN,3.46,0.5618,234455840.0,
320,20240531,CN0Q2R,HKD,3.13,0.9403,4558146500.0,1.0
321,20240531,MY506V,MYR,0.805,0.3498,1195503000.0,1.0
322,20240531,617350,AUD,4.46,0.502,1246006654.0,1.0
323,20240531,698589,JPY,9269.0,0.7033,41811004.0,1.0
324,20240531,666720,JPY,374.0,0.4008,56057474.0,
325,20240531,NO305J,NOK,134.0,0.5322,108532000.0,
326,20240531,CLI,USD,15.29,1.0,92221526.0,1.0
327,20240531,491134,EUR,80.66,0.7299,139041391.0,1.0
328,20240531,CN0FR5,CNY,2.56,0.3253,6050353641.0,
329,20240531,CN02WX,CNY,7.47,0.4358,11638109474.0,
330,20240531,CN16OU,CNY,4.17,0.5627,2331060223.0,
331,20240531,NZ406W,NZD,2.1,0.4921,1074640281.0,1.0
332,20240531,ITRI,USD,107.55,1.0,45492770.0,1.0
333,20240531,KR19YJ,KRW,696.0,0.7892,118885290.0,1.0
334,20240531,IL0069,ILS,4.487,0.7281,2766843548.0,1.0
335,20240531,CN13LO,CNY,6.9,0.5976,1389489127.0,
336,20240531,659720,JPY,1530.0,0.9363,15709968.0,1.0
337,20240531,PL005F,PLN,11.5,0.5454,91744200.0,1.0
338,20240531,CN0KN6,CNY,6.84,0.7649,774902500.0,
339,20240531,CN0L3N,CNY,4.38,0.6833,1462076254.0,
340,20240531,TH50BQ,THB,0.22,0.7325,10011339528.0,0.668942
341,20240531,MY22I6,MYR,0.525,0.2873,2121889800.0,1.0
342,20240531,664706,JPY,2408.5,0.4227,1402500000.0,1.0
343,20240531,CN05VZ,CNY,3.85,0.4472,2031124274.0,
