Date;sd3e;sd3t;sd3gt
2007-07-18 00:00:00;153.267517075;162.595073689;165.390128176
2007-07-19 00:00:00;154.036059314;163.410629015;166.219644799
2007-07-20 00:00:00;152.153726085;161.413308599;164.188276385
2007-07-23 00:00:00;152.811153783;162.111030953;164.898349204
2007-07-24 00:00:00;150.133822472;159.271015837;162.008632904
2007-07-25 00:00:00;147.766024525;156.759077948;159.454183004
2007-07-26 00:00:00;143.679037713;152.422961971;155.04382352
2007-07-27 00:00:00;142.625654231;151.305781717;153.907048008
2007-07-30 00:00:00;142.328907859;150.990758872;153.586609114
2007-07-31 00:00:00;145.743916258;154.720189632;157.39974958
2007-08-01 00:00:00;143.982398046;152.850321206;155.497709974
2007-08-02 00:00:00;146.026993778;155.02078395;157.705360967
2007-08-03 00:00:00;144.835158052;153.755539524;156.417839138
2007-08-06 00:00:00;144.310450499;153.198667079;155.851922633
2007-08-07 00:00:00;146.155304617;155.157167886;157.84375103
2007-08-08 00:00:00;147.828636686;156.975505857;159.704603117
2007-08-09 00:00:00;144.004003651;152.91421897;155.572671258
2007-08-10 00:00:00;141.146772608;149.9962211;152.624468681
2007-08-13 00:00:00;144.47712231;153.535332715;156.225081551
2007-08-14 00:00:00;143.22179256;152.20103748;154.86754094
2007-08-15 00:00:00;142.925928049;151.886701707;154.547925797
2007-08-16 00:00:00;137.896672296;146.542306503;149.109525849
2007-08-17 00:00:00;140.727888427;149.550654437;152.171405977
2007-08-20 00:00:00;142.186487237;151.100690508;153.748064187
2007-08-21 00:00:00;142.162236048;151.075268817;153.722527925
2007-08-22 00:00:00;144.734625848;153.808444124;156.503509177
2007-08-23 00:00:00;144.825016645;153.904977842;156.601535471
2007-08-24 00:00:00;146.252309375;155.421690886;158.145243665
2007-08-27 00:00:00;145.891628048;155.038304305;157.75478599
2007-08-28 00:00:00;143.820135542;152.836579752;155.514184981
2007-08-29 00:00:00;144.970964712;154.059912742;156.758871791
