Date;sxxe;sxxt;sxxgt
2011-03-07 00:00:00;93.8856598693;108.112206217;112.620922385
2011-03-08 00:00:00;94.2567234755;108.541034875;113.070866142
2011-03-09 00:00:00;94.1220897777;108.396512509;112.924634421
2011-03-10 00:00:00;93.1895051391;107.323256255;111.811023622
2011-03-11 00:00:00;92.3160279775;106.316338135;110.753655793
2011-03-14 00:00:00;91.4326995698;105.299943139;109.696287964
2011-03-15 00:00:00;89.3081141431;102.854909022;107.154105737
2011-03-16 00:00:00;87.5710110662;100.852918878;105.073115861
2011-03-17 00:00:00;89.39349161;102.952047005;107.255343082
2011-03-18 00:00:00;89.718582734;103.331122062;107.64904387
2011-03-21 00:00:00;91.6724132269;105.579510993;109.988751406
2011-03-22 00:00:00;91.3670245953;105.224128127;109.617547807
2011-03-23 00:00:00;91.8136144222;105.740617892;110.157480315
2011-03-24 00:00:00;93.1730863954;107.30904094;111.799775028
2011-03-25 00:00:00;93.2321938725;107.380117513;111.867266592
2011-03-28 00:00:00;93.3504088267;107.51990144;112.013498313
2011-03-29 00:00:00;93.3011525958;107.460670963;111.957255343
2011-03-30 00:00:00;94.1286572751;108.420204701;112.958380202
2011-03-31 00:00:00;93.3766788165;107.562547384;112.069741282
2011-04-01 00:00:00;94.8477982465;109.29681577;113.880764904
2011-04-04 00:00:00;94.8675007388;109.34893859;113.948256468
2011-04-05 00:00:00;94.7591370308;109.228108415;113.824521935
2011-04-06 00:00:00;95.3042393196;109.863059136;114.476940382
2011-04-07 00:00:00;94.9036219748;109.398692191;114.004499438
2011-04-08 00:00:00;95.3666305454;109.976781653;114.61192351
2011-04-11 00:00:00;95.0284044265;109.590598939;114.206974128
2011-04-12 00:00:00;93.6919186944;108.052975739;112.609673791
2011-04-13 00:00:00;94.3552359373;108.822971948;113.40832396
2011-04-14 00:00:00;93.4522050373;107.835007582;112.4071991
2011-04-15 00:00:00;93.5211637605;107.934514784;112.519685039
2011-04-18 00:00:00;91.478672052;105.605572403;110.101237345
2011-04-19 00:00:00;91.889140643;106.086523882;110.596175478
2011-04-20 00:00:00;93.7707286638;108.268574678;112.879640045
2011-04-21 00:00:00;94.1614947624;108.808756634;113.475815523
2011-04-26 00:00:00;94.7492857847;109.528999242;114.24071991
2011-04-27 00:00:00;95.3403605556;110.242134193;114.983127109
2011-04-28 00:00:00;96.0595015269;111.076099318;115.860517435
2011-04-29 00:00:00;96.2795126917;111.443328279;116.276715411
2011-05-02 00:00:00;96.3550389124;111.65181956;116.524184477
2011-05-03 00:00:00;95.9708403113;111.213514026;116.07424072
2011-05-04 00:00:00;94.5456933635;109.649829416;114.476940382
2011-05-05 00:00:00;93.974321085;109.128601213;113.98200225
2011-05-06 00:00:00;94.9069057236;110.415087187;115.38807649
2011-05-09 00:00:00;93.7969986537;109.192570129;114.128233971
2011-05-10 00:00:00;94.8642169901;110.476686884;115.489313836
2011-05-11 00:00:00;95.0087019341;110.682808946;115.714285714
2011-05-12 00:00:00;94.2797097166;109.848843821;114.848143982
2011-05-13 00:00:00;93.8101336486;109.415276725;114.431946007
2011-05-16 00:00:00;93.4325025449;109.081216831;114.128233971
2011-05-17 00:00:00;92.3160279775;107.78525398;112.767154106
2011-05-18 00:00:00;92.7659015532;108.31595906;113.329583802
2011-05-19 00:00:00;93.4981775195;109.183093252;114.24071991
2011-05-20 00:00:00;92.5852953732;108.211713419;113.250843645
2011-05-23 00:00:00;90.6774373625;106.231046247;111.271091114
2011-05-24 00:00:00;90.9664072505;106.574583017;111.631046119
2011-05-25 00:00:00;91.3801595902;107.07211903;112.159730034
2011-05-26 00:00:00;90.9171510196;106.584059894;111.664791901
2011-05-27 00:00:00;91.514793288;107.311410159;112.440944882
2011-05-30 00:00:00;91.4294158211;107.211902957;112.328458943
2011-05-31 00:00:00;92.7987390405;108.879833207;114.094488189
2011-06-01 00:00:00;91.8595869044;107.801838514;112.969628796
2011-06-02 00:00:00;90.5428036647;106.268953753;111.372328459
2011-06-03 00:00:00;90.7266935934;106.484552691;111.597300337
2011-06-06 00:00:00;90.1356188224;105.818802123;110.911136108
2011-06-07 00:00:00;90.2571175254;105.960955269;111.057367829
2011-06-08 00:00:00;89.3475191278;104.892437453;109.94375703
2011-06-09 00:00:00;90.2144287919;105.911201668;111.012373453
2011-06-10 00:00:00;88.815551834;104.314347991;109.347581552
2011-06-13 00:00:00;88.8451055725;104.371209249;109.415073116
2011-06-14 00:00:00;90.1257675763;105.873294162;110.989876265
2011-06-15 00:00:00;88.779430598;104.293025019;109.336332958
2011-06-16 00:00:00;88.4346369816;103.890257771;108.920134983
2011-06-17 00:00:00;89.3442353791;104.961144807;110.033745782
2011-06-20 00:00:00;88.6316619052;104.172194845;109.223847019
2011-06-21 00:00:00;90.3293599974;106.16944655;111.327334083
2011-06-22 00:00:00;90.0765113454;105.875663381;111.012373453
2011-06-23 00:00:00;88.2277608117;103.700720243;108.74015748
2011-06-24 00:00:00;87.8402784619;103.248199393;108.267716535
2011-06-27 00:00:00;87.971628411;103.404567854;108.42519685
2011-06-28 00:00:00;88.7039043772;104.278809704;109.347581552
2011-06-29 00:00:00;90.4311562079;106.309230478;111.473565804
2011-06-30 00:00:00;91.76764194;107.889499621;113.138357705
2011-07-01 00:00:00;92.5491741372;108.820602729;114.116985377
2011-07-04 00:00:00;92.6312678554;108.92484837;114.229471316
2011-07-05 00:00:00;92.0763143204;108.304112964;113.588301462
2011-07-06 00:00:00;91.4458345647;107.562547384;112.812148481
2011-07-07 00:00:00;91.8989918891;108.112206217;113.385826772
2011-07-08 00:00:00;90.3851837257;106.344768764;111.541057368
2011-07-11 00:00:00;87.971628411;103.511182714;108.571428571
2011-07-12 00:00:00;87.4396611171;102.88570887;107.90776153
2011-07-13 00:00:00;88.2014908219;103.804965883;108.886389201
2011-07-14 00:00:00;87.3838373888;102.840693707;107.874015748
2011-07-15 00:00:00;86.9208288182;102.298142532;107.300337458
