closeDay;nextTradingDay;indexSymbol;indexName;indexType;indexCurrency;indexClose;indexComponentCount;indexMcapUnits;indexDivisor;internalNumber;isin;sedol;ric;cusip;name;country;currency;currencyNextDay;exchange;icb5;sharesClose;freeFloatClose;capFactorCf;weightFactorWf;closeUnadjustedLocal;fxLocalToIndexCurrencyClose;mcapUnitsLocal;mcapUnitsIndexCurrency;indexComponentCountNextDay;indexDivisorNextDay;sharesNextDay;freeFloatNextDay;capFactorNextDaycf;weightFactorNextDayWf;adjustedLocal;adjustedMcapUnitsLocal;adjustedMcapUnitsIndexCurrency;weight
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;BR4017;None;None;None;;None;None;None;None;0;0;0;0;1;0;0;0;0;0;1375;1018830191;0;0;1;0;0;0;0;0
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;ET027;TREKOAL00014;B3LP189;KOZAL.IS;;KOZA ALTIN ISLETMELERI;TR;TRY;TRY;0;55103025;152500000;0.3;1;45750000;123.9;0.1368378;5668425000;775654806;1375;1018830191;152500000;0.3;1;45750000;123.9;5668425000;775654806;0.000559442
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN81ZD;INE768C01010;6334327;ZYDS.BO;;ZYDUS WELLNESS;IN;INR;INR;0;45102020;63632141;0.3106;1;19764143;1852;0.013787;36603192836;504648220;1375;1018830191;63632141;0.3106;1;19764143;1852;36603192836;504648220;0.000363978
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW03ZR;TW0002458007;6241513;2458.TW;;Elan Microeltr;TW;TWD;TWD;0;10102010;303880391;1;1;303880391;183.5;0.0353345;55762051749;1970324233;1375;1018830191;303880391;1;1;303880391;183.5;55762051749;1970324233;0.001421098
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MY309W;MYL7293OO003;6986717;YINS.KL;;YINSON HOLDINGS;MY;MYR;MYR;0;50206050;1098937473;0.6615;1;726947138;5.59;0.2432186;4063634501;988351513;1375;1018830191;1098937473;0.6615;1;726947138;5.59;4063634501;988351513;0.000712849
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN087K;INE211B01039;B0SXY97;PHOE.BO;;Phoenix Mills;IN;INR;INR;0;40204020;171695679;0.5661;1;97196924;766.1;0.013787;74462563476;1026615363;1375;1018830191;171695679;0.5661;1;97196924;766.1;74462563476;1026615363;0.000740447
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW08NK;TW0009917005;6877811;9917.TW;;Taiwan Secom;TW;TWD;TWD;0;50202020;451197093;0.6232;1;281186028;88.9;0.0353345;24997437889;883271983;1375;1018830191;451197093;0.6232;1;281186028;88.9;24997437889;883271983;0.000637061
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MX204P;MX01R0000006;BG1Z6X0;RA.MX;;REGIONAL S.A.B. DE C.V.;MX;MXN;MXN;0;30101010;327931333;0.897;1;294154406;96.47;0.0489141;28377075547;1388039103;1375;1018830191;327931333;0.897;1;294154406;96.47;28377075547;1388039103;0.001001124
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CL0298;CLP763281068;2684349;PARAUCO.SN;;Parque Arauco;CL;CLP;CLP;0;35101010;905715882;0.7453;1;675030047;1285;0.00139;8.67414E+11;1205704918;1375;1018830191;905715882;0.7453;1;675030047;1285;8.67414E+11;1205704918;0.000869616
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW1AYY;US82706C1080;B0CL646;SIMO.OQ;;SILICON MOTION TECH.ADR 1:4;TW;USD;USD;0;10102010;34541960;0.8309;1;28700915;64.410004;1;1848626050;1848626050;1375;1018830191;34541960;0.8309;1;28700915;63.289994;1816480738;1816480738;0.001333323
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN403C;INE217B01036;BDB5J63;KAJR.BO;;KAJARIA CERAMICS;IN;INR;INR;0;50101035;158957201;0.4;0.6743088;63582880;945.9;0.013787;40554985766;559131589;1375;1018830191;158957201;0.4;0.6743088;63582880;945.9;40554985766;559131589;0.000403274
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN07U6;INE274J01014;B409HQ9;OILI.BO;;OIL INDIA Ltd;IN;INR;INR;0;60101010;1084405176;0.24;1;260257242;127.3;0.013787;33130746907;456773608;1375;1018830191;1084405176;0.24;1;260257242;127.3;33130746907;456773608;0.000329448
