RIC;Name;Country;ISO;Weight
DRBM.KL;DRB-HICOM BHD ORD;MALAYSIA;MY;0.00021
TAAN.KL;TA ANN HOLDINGS BHD ORD;MALAYSIA;MY;0.000148
0639.HK;SHOUGANG FUSHAN RESOURCES GROUP LTD ORD;HONG KONG;HK;0.000684
0517.HK;COSCO SHIPPING INTERNATIONAL (HONGKONG) CO LTD ORD;HONG KONG;HK;0.000087
0751.HK;SKYWORTH GROUP LTD ORD;HONG KONG;HK;0.000368
1909.TW;LONGCHEN PAPER & PACKAGING CO LTD ORD;TAIWAN;TW;0.000337
2449.TW;KING YUAN ELECTRONICS CO LTD ORD;TAIWAN;TW;0.002764
005420.KS;COSMO CHEMICAL CO LTD ORD;KOREA;KR;0.000681
005250.KS;GREEN CROSS HOLDINGS ORD;KOREA;KR;0.000316
004800.KS;HYOSUNG CORP ORD;KOREA;KR;0.000378
004490.KS;SEBANG GLOBAL BATTERY CO LTD ORD;KOREA;KR;0.000229
064960.KS;SNT MOTIV CO LTD ORD;KOREA;KR;0.000189
BAWJ.J;BARLOWORLD LTD ORD;SOUTH AFRICA;ZA;0.000587
006740.KS;YOUNGPOONG PAPER MFG CO LTD ORD;KOREA;KR;0.000031
016380.KS;KG DONGBUSTEEL CO LTD ORD;KOREA;KR;0.000205
006260.KS;LS CORP ORD;KOREA;KR;0.001118
001120.KS;LX INTERNATIONAL CORP ORD;KOREA;KR;0.000565
3035.TW;FARADAY TECHNOLOGY CORP ORD;TAIWAN;TW;0.002209
036930.KQ;JUSUNG ENGINEERING CO LTD ORD;KOREA;KR;0.000707
030190.KS;NICE INFORMATION SERVICE CO LTD ORD;KOREA;KR;0.000265
3044.TW;TRIPOD TECHNOLOGY CORP ORD;TAIWAN;TW;0.002507
042670.KS;HD HYUNDAI INFRACORE CO LTD ORD;KOREA;KR;0.000735
000210.KS;DL HOLDINGS CO LTD ORD;KOREA;KR;0.000318
009970.KS;YOUNGONE HOLDINGS CO LTD ORD;KOREA;KR;0.0003
003090.KS;DAEWOONG CO LTD ORD;KOREA;KR;0.000328
000070.KS;SAMYANG HOLDINGS CORP ORD;KOREA;KR;0.000184
007660.KS;ISU PETASYS CO LTD ORD;KOREA;KR;0.00094
4080.SE;SINAD HOLDING COMPANY SJSC ORD;SAUDI ARABIA;SA;0.00022
TTCH.NS;TATA CHEMICALS LTD ORD;INDIA;IN;0.001626
3078.TWO;CHANNEL WELL TECHNOLOGY CO LTD ORD;TAIWAN;TW;0.000358
0357.HK;HAINAN MEILAN INTERNATIONAL AIRPORT CO LTD ORD;CHINA;CN;0.000135
2040.SE;SAUDI CERAMIC COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000257
047040.KS;DAEWOO ENGINEERING & CONSTRUCTION CO LTD ORD;KOREA;KR;0.000525
JAIB.NS;JAI BALAJI INDUSTRIES LTD ORD;INDIA;IN;0.00032
POON.NS;POONAWALLA FINCORP LTD ORD;INDIA;IN;0.001114
MAXI.NS;MAX FINANCIAL SERVICES LTD ORD;INDIA;IN;0.002354
3260.TWO;ADATA TECHNOLOGY CO LTD ORD;TAIWAN;TW;0.000837
JKBK.NS;JAMMU AND KASHMIR BANK LTD ORD;INDIA;IN;0.000371
003545.KS;DAISHIN SECURITIES CO LTD;KOREA;KR;0.00015
VAIB.NS;VAIBHAV GLOBAL LTD ORD;INDIA;IN;0.000203
3020.SE;YAMAMA CEMENT COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000759
014830.KS;UNID CO LTD ORD;KOREA;KR;0.000181
BLDT.NS;BLUE DART EXPRESS LTD ORD;INDIA;IN;0.000465
0512.HK;GRAND PHARMACEUTICAL GROUP LTD ORD;HONG KONG;HK;0.000484
8942.TWO;XXENTRIA TECHNOLOGY MATERIALS CO LTD ORD;TAIWAN;TW;0.000285
NLCI.NS;NLC INDIA LTD ORD;INDIA;IN;0.000538
010060.KS;OCI HOLDINGS CO LTD ORD;KOREA;KR;0.001012
ADRG.NS;AARTI DRUGS LTD ORD;INDIA;IN;0.000196
TVOn.BK;THAI VEGETABLE OIL NVDR REP 1;THAILAND;TH;0.000237
032500.KQ;KMW CO LTD ORD;KOREA;KR;0.000222
STAn.BK;SRI TRANG AGRO NVDR;THAILAND;TH;0.000071
035760.KQ;CJ ENM CO LTD ORD;KOREA;KR;0.00048
EPLI.NS;EPL LTD ORD;INDIA;IN;0.000318
LICH.NS;LIC HOUSING FINANCE LTD ORD;INDIA;IN;0.00174
FNXC.NS;FINOLEX CABLES LTD ORD;INDIA;IN;0.000826
1907.TW;YFY INC ORD;TAIWAN;TW;0.000963
3014.TW;ITE TECH INC ORD;TAIWAN;TW;0.000568
MAJORf.BK;MAJOR CINEPLEX GROUP PCL ORD;THAILAND;TH;0.000154
900925.SS;SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY CO LTD ORD;CHINA;CN;0.000201
TSHR.KL;TSH RESOURCES BHD ORD;MALAYSIA;MY;0.000146
RESJ.J;RESILIENT REIT LTD ORD;SOUTH AFRICA;ZA;0.000728
6274.TWO;TAIWAN UNION TECHNOLOGY CORP ORD;TAIWAN;TW;0.000951
8016.TW;SITRONIX TECHNOLOGY CORP ORD;TAIWAN;TW;0.000787
MYRS.KL;MALAYSIAN RESOURCES CORPORATION BHD ORD;MALAYSIA;MY;0.000142
3211.TWO;DYNAPACK INTERNATIONAL TECHNOLOGY CORP ORD;TAIWAN;TW;0.000371
2820.TW;CHINA BILLS FINANCE CORP ORD;TAIWAN;TW;0.000258
1808.TW;RUN LONG CONSTRUCTION CO LTD ORD;TAIWAN;TW;0.000501
1133.HK;HARBIN ELECTRIC CO LTD ORD;CHINA;CN;0.0002
EMBR3.SA;EMBRAER SA ORD;BRAZIL;BR;0.002823
QHf.BK;QUALITY HOUSES PCL ORD;THAILAND;TH;0.000342
1609.TW;TA YA ELECTRIC WIRE & CABLE CO LTD ORD;TAIWAN;TW;0.000587
DMC.PS;DMCI HOLDINGS INC ORD;PHILIPPINES;PH;0.000422
2027.TW;TA CHEN STAINLESS PIPE CO LTD ORD;TAIWAN;TW;0.001902
2704.TW;AMBASSADOR HOTEL LTD ORD;TAIWAN;TW;0.000181
1308.TW;ASIA POLYMER CORP ORD;TAIWAN;TW;0.000255
1305.TW;CHINA GENERAL PLASTICS CORP ORD;TAIWAN;TW;0.000225
2903.TW;FAR EASTERN DEPARTMENT STORES LTD ORD;TAIWAN;TW;0.000499
MEGA.KL;MEGA FIRST CORPORATION BHD ORD;MALAYSIA;MY;0.000377
1201.TW;WEI CHUAN FOODS CORP ORD;TAIWAN;TW;0.000256
STECf.BK;SINO THAI ENGINEERING AND CONSTRUCTION PCL ORD;THAILAND;TH;0.000176
TPIPLf.BK;TPI POLENE PCL ORD;THAILAND;TH;0.000122
4040.SE;SAUDI PUBLIC TRANSPORT COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000335
UTPS.KL;UNITED PLANTATIONS BHD ORD;MALAYSIA;MY;0.000428
RANI3.SA;IRANI PAPEL E EMBALAGEM SA ORD;BRAZIL;BR;0.000276
2392.TW;CHENG UEI PRECISION INDUSTRY CO LTD ORD;TAIWAN;TW;0.000439
2850.TW;SHINKONG INSURANCE CO LTD ORD;TAIWAN;TW;0.000297
ZOREN.IS;ZORLU ENERJI ELEKTRIK URETIM AS ORD;TURKEY;TR;0.000241
2106.TW;KENDA RUBBER INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.000636
2608.TW;KERRY TJ LOGISTICS CO LTD ORD;TAIWAN;TW;0.000249
2809.TW;KING'S TOWN BANK CO LTD ORD;TAIWAN;TW;0.000839
2204.TW;CHINA MOTOR CORP ORD;TAIWAN;TW;0.000754
5457.TWO;SPEED TECH CORP ORD;TAIWAN;TW;0.000199
2515.TW;BES ENGINEERING CO ORD;TAIWAN;TW;0.00051
5469.TW;HANNSTAR BOARD CORP ORD;TAIWAN;TW;0.00043
3030.TW;TEST RESEARCH INC ORD;TAIWAN;TW;0.000244
9933.TW;CTCI CORP ORD;TAIWAN;TW;0.000676
004370.KS;NONGSHIM CO LTD ORD;KOREA;KR;0.000944
001530.KS;DI DONG IL CORP ORD;KOREA;KR;0.000327
004170.KS;SHINSEGAE INC ORD;KOREA;KR;0.000921
058470.KQ;LEENO INDUSTRIAL INC ORD;KOREA;KR;0.001295
049070.KQ;INTOPS CO LTD ORD;KOREA;KR;0.00023
6269.TW;FLEXIUM INTERCONNECT INC ORD;TAIWAN;TW;0.000715
007310.KS;OTTOGI CORP ORD;KOREA;KR;0.000443
006730.KQ;SEOBU T&D CO LTD ORD;KOREA;KR;0.000098
