Date;internalNumber;country;Final_Weight
2023-12-18;CN4CN2;CN;0.000422429
2023-12-18;IN316F;IN;0.000667816
2023-12-18;IN139I;IN;0.000802325
2023-12-18;KR22YD;KR;0.000401623
2023-12-18;BR1159;BR;0.000679325
2023-12-18;TW03ZR;TW;0.001083328
2023-12-18;KR62ZI;KR;0.000588321
2023-12-18;HK20QT;CN;0.000294174
2023-12-18;IN711E;IN;0.000629644
2023-12-18;TW07HD;TW;0.000366557
2023-12-18;ET011;TR;0.000511611
2023-12-18;BR16EN;BR;0.000924617
2023-12-18;BR16CL;BR;0.000294318
2023-12-18;IN01NT;IN;0.000624048
2023-12-18;ID00XS;ID;0.000402662
2023-12-18;ID20IF;ID;0.000360077
2023-12-18;TW106W;TW;0.001043318
2023-12-18;BR1137;BR;0.000418299
2023-12-18;BR02LP;BR;0.00055316
2023-12-18;IN70S4;IN;0.000652031
2023-12-18;MY233S;MY;0.000530324
2023-12-18;IN01Z5;IN;0.000251431
2023-12-18;TH21W9;TH;0.000333859
2023-12-18;CN8AIZ;CN;0.000330915
2023-12-18;KY11BV;CN;0.000613918
2023-12-18;BR16HQ;BR;0.000700792
2023-12-18;HK51MT;CN;0.000823589
2023-12-18;IN08GT;IN;0.000583025
2023-12-18;KR04N2;KR;0.000511072
2023-12-18;HK01SU;CN;0.000459835
2023-12-18;PH1018;PH;0.000365906
2023-12-18;MY70B2;MY;0.00048032
2023-12-18;ID80JM;ID;0.000659986
2023-12-18;TW019Z;TW;0.000951277
2023-12-18;IN11GN;IN;0.000413769
2023-12-18;TW1998;TW;0.000457933
2023-12-18;BR02PT;BR;0.000408074
2023-12-18;ZA20Q1;ZA;0.000775116
2023-12-18;TW10D3;TW;0.00088802
2023-12-18;PL701I;PL;0.000750973
2023-12-18;QA21BE;QA;0.000351838
2023-12-18;ZA215H;ZA;0.00089617
2023-12-18;BR03DI;BR;0.001023751
2023-12-18;MY10QB;MY;0.000322618
2023-12-18;CN0OCZ;CN;0.000845335
2023-12-18;ID12ZX;ID;0.0005237
2023-12-18;KR12N1;KR;0.000619885
2023-12-18;KW23DY;KW;0.000831451
2023-12-18;MX408V;MX;0.001118395
2023-12-18;IN1129;IN;0.000322037
2023-12-18;TR20UG;TR;0.000245482
2023-12-18;CN2DAO;CN;0.000293915
2023-12-18;TW306Y;TW;0.000972043
2023-12-18;QA208A;QA;0.000760722
2023-12-18;KR82F0;KR;0.000535312
2023-12-18;IN902G;IN;0.000700707
2023-12-18;PH04MW;PH;0.000360073
2023-12-18;IN067I;IN;0.000461411
2023-12-18;CN91MV;CN;0.000264113
2023-12-18;IN30PX;IN;0.000234646
2023-12-18;B1P1JS;CN;0.000535776
2023-12-18;487454;CZ;0.000216112
2023-12-18;IN70AM;IN;0.000420066
2023-12-18;ID20A7;ID;0.00046519
2023-12-18;B07XWG;PL;0.000334253
2023-12-18;KR049O;KR;0.000606986
2023-12-18;IN60KV;IN;0.000469816
2023-12-18;TW30LD;TW;0.000367114
2023-12-18;IN80R4;IN;0.000508438
2023-12-18;BR027B;BR;0.00034196
2023-12-18;SA2026;SA;0.000355342
2023-12-18;IN10IO;IN;0.000255238
2023-12-18;EG0082;EG;0.0002662
2023-12-18;TW005U;TW;0.000926227
2023-12-18;BR705E;BR;0.000640954
2023-12-18;IN138H;IN;0.000434855
2023-12-18;MX303P;MX;0.001010609
2023-12-18;BR10AD;BR;0.000436191
2023-12-18;CN40HK;CN;0.000649852
2023-12-18;KR05CS;KR;0.000684219
2023-12-18;TR30D0;TR;0.000172792
2023-12-18;MY301O;MY;0.000378546
2023-12-18;TR20AW;TR;0.00026436
2023-12-18;TH30AN;TH;0.000201254
2023-12-18;TW04KD;TW;0.000401402
2023-12-18;CL0298;CL;0.000871154
2023-12-18;681001;CN;0.000354069
2023-12-18;TW30B3;TW;0.000299306
2023-12-18;CN2D9N;CN;0.000343802
2023-12-18;IN30MU;IN;0.000510458
2023-12-18;TR30NA;TR;0.000339307
2023-12-18;IN11JQ;IN;0.000712692
2023-12-18;KR00T4;KR;0.000689591
2023-12-18;KR409O;KR;0.000665291
2023-12-18;MY201N;MY;0.000508866
2023-12-18;KR623M;KR;0.000610203
2023-12-18;ZA20BM;ZA;0.000920077
2023-12-18;ZA703J;ZA;0.000484926
2023-12-18;IN06FQ;IN;0.000601401
2023-12-18;TR30M9;TR;0.000199348
2023-12-18;IN01V1;IN;0.000268806
2023-12-18;IN04PY;IN;0.000595748
2023-12-18;IN11KR;IN;0.000356639
2023-12-18;CN4D5L;CN;0.00013649
2023-12-18;ID0140;ID;0.000296925
2023-12-18;IN30U2;IN;0.000438808
2023-12-18;MY30H4;MY;0.000698769
2023-12-18;IN09T7;IN;0.000255476
2023-12-18;SA22Y4;SA;0.000477209
2023-12-18;TW05F9;TW;0.000847539
2023-12-18;KR637R;KR;0.000546896
2023-12-18;424894;GR;0.000440801
2023-12-18;PH20FN;PH;0.000252109
2023-12-18;IN30V3;IN;0.000400072
2023-12-18;MY23F4;MY;0.000444998
2023-12-18;KY115P;CN;0.000592489
2023-12-18;BR026A;BR;0.000853698
2023-12-18;BR05U1;BR;0.000239991
2023-12-18;KR82BW;KR;0.000348307
2023-12-18;BR209D;BR;0.000852007
2023-12-18;IN02RY;IN;0.000418598
2023-12-18;KR18I2;KR;0.000584718
2023-12-18;IN30W4;IN;0.000520707
2023-12-18;IN07P1;IN;0.000723493
2023-12-18;TR404S;TR;0.000391719
2023-12-18;MY90ZS;MY;0.000357718
2023-12-18;699076;CN;0.000772721
2023-12-18;CN1O4S;CN;0.000446825
2023-12-18;IN20HO;IN;0.000499751
2023-12-18;KW24UG;KW;0.000679421
2023-12-18;IN08ZC;IN;0.000272092
2023-12-18;KR160I;KR;0.000742928
2023-12-18;IN60W7;IN;0.000565085
2023-12-18;IN30OW;IN;0.00020534
2023-12-18;BR049F;BR;0.000432713
2023-12-18;IN60MX;IN;0.000487326
2023-12-18;TW8074;TW;0.000761754
2023-12-18;KR06CT;KR;0.000334206
2023-12-18;KR202F;KR;0.000577007
2023-12-18;IN027E;IN;0.000429421
2023-12-18;IN81M0;IN;0.00053832
2023-12-18;IN80O1;IN;0.000466156
2023-12-18;BR3038;BR;0.000954882
2023-12-18;MY00K4;MY;0.000263046
2023-12-18;IN81S6;IN;0.000364123
2023-12-18;IN0AWB;IN;0.000467201
2023-12-18;BR02X1;BR;0.000355795
2023-12-18;SA279K;SA;0.000370832
2023-12-18;IN81R5;IN;0.000270851
2023-12-18;KR05P5;KR;0.000439643
2023-12-18;430508;TR;0.000140524
2023-12-18;KR05JZ;KR;0.000585195
2023-12-18;BR02TX;BR;0.0004961
2023-12-18;ID80EH;ID;0.000169497
2023-12-18;MY303Q;MY;0.000410233
2023-12-18;KR30GU;KR;0.000550146
2023-12-18;BR3049;BR;0.000199657
2023-12-18;TR80A2;TR;0.00044905
2023-12-18;IN50R1;IN;0.000594742
2023-12-18;PH04KU;PH;0.000274367
2023-12-18;KR00X8;KR;0.000444368
2023-12-18;IN113A;IN;0.000537553
2023-12-18;KY117R;CN;0.000628029
2023-12-18;427764;TR;0.000274307
2023-12-18;B13C2G;TR;0.000141785
2023-12-18;KW26E2;KW;0.00049328
2023-12-18;HK10GI;CN;0.000390017
2023-12-18;IN0319;IN;0.000293471
2023-12-18;ID01C8;ID;0.000411148
2023-12-18;TW018Y;TW;0.000862145
2023-12-18;KR51GX;KR;0.000494243
2023-12-18;669377;CN;0.000268474
2023-12-18;ZA20DO;ZA;0.000641153
2023-12-18;IN81ZD;IN;0.000175751
2023-12-18;IN11BI;IN;0.00035755
2023-12-18;KR19G1;KR;0.000680467
2023-12-18;KR011D;KR;0.000575837
2023-12-18;KR321H;KR;0.000306044
2023-12-18;BR20HL;BR;0.000649663
2023-12-18;KR632M;KR;0.00032714
2023-12-18;KR03AO;KR;0.000538364
2023-12-18;IN20JQ;IN;0.000458596
2023-12-18;ZA211D;ZA;0.000725364
2023-12-18;IN0BIY;IN;0.00024798
2023-12-18;ID00TO;ID;0.000317187
2023-12-18;KR109L;KR;0.000341586
2023-12-18;TR101M;TR;0.000124783
2023-12-18;BR16W5;BR;0.000422777
2023-12-18;MY20VH;MY;0.00057362
2023-12-18;MY22G4;MY;0.000240532
2023-12-18;MY00P9;MY;0.000138949
2023-12-18;TW0380;TW;0.000667469
2023-12-18;SA20OS;SA;0.000399091
2023-12-18;PL10DO;PL;0.000428045
2023-12-18;CN2D5J;CN;0.000233834
2023-12-18;BR16Z8;BR;0.000492572
2023-12-18;IN50PZ;IN;0.000537788
2023-12-18;IN40DM;IN;0.000510935
2023-12-18;TW1ASS;TW;0.000533476
2023-12-18;IN13HQ;IN;0.000445409
2023-12-18;KR02GT;KR;0.000478511
2023-12-18;IN80YB;IN;0.000252511
2023-12-18;IN30FN;IN;0.000846999
2023-12-18;TW06WR;TW;0.000752335
2023-12-18;SA20NR;SA;0.000362917
2023-12-18;MX201M;MX;0.000914559
2023-12-18;TW011R;TW;0.000437845
2023-12-18;TH223H;TH;0.000382685
2023-12-18;BR801B;BR;0.000717697
2023-12-18;KR1A6S;KR;0.000624564
2023-12-18;KR01LX;KR;0.000417482
2023-12-18;CL00QN;CL;0.000724137
2023-12-18;430007;TR;0.000143199
2023-12-18;TW03WO;TW;0.000430003
2023-12-18;IN0229;IN;0.000482203
2023-12-18;EW052;PL;0.000406398
2023-12-18;404164;TR;0.000256941
2023-12-18;MY244U;MY;0.000332657
2023-12-18;IN60NY;IN;0.00027899
2023-12-18;PH402C;PH;0.000261636
2023-12-18;IN03S0;IN;0.000506914
2023-12-18;CN4CU9;CN;0.000383444
2023-12-18;419707;TR;0.00026432
2023-12-18;B1ZBHG;GR;0.000310926
2023-12-18;TW08QN;TW;0.000648378
2023-12-18;MY22OC;MY;0.000301297
2023-12-18;HK90BL;CN;0.000162194
2023-12-18;TW082Z;TW;0.000769485
2023-12-18;KW23QB;KW;0.000551907
2023-12-18;KR21N1;KR;0.000548796
2023-12-18;IN19ET;IN;0.000313283
2023-12-18;KR02N0;KR;0.000332543
2023-12-18;BR00QS;BR;0.000185214
2023-12-18;TW01TJ;TW;0.000661831
2023-12-18;KR18AU;KR;0.000558475
2023-12-18;TW14JD;TW;0.000448238
2023-12-18;KR02S5;KR;0.000740856
2023-12-18;TW30H9;TW;0.000212939
2023-12-18;KR13YD;KR;0.000567542
2023-12-18;TW134X;TW;0.00080234
2023-12-18;MY215S;MY;0.000181406
2023-12-18;TW40B4;TW;0.000580069
2023-12-18;TW03TL;TW;0.000694129
2023-12-18;TR30CZ;TR;0.000195639
2023-12-18;TW08TQ;TW;0.000822759
2023-12-18;TH12P2;TH;0.00030767
2023-12-18;ID80HK;ID;0.000353419
2023-12-18;CN91QZ;CN;0.000443536
2023-12-18;BR045B;BR;0.000558549
2023-12-18;KW260O;KW;0.000402764
2023-12-18;TW03SK;TW;0.000477381
2023-12-18;IN203A;IN;0.000590471
2023-12-18;TW1987;TW;0.000588228
2023-12-18;KR04CR;KR;0.000214821
2023-12-18;CN1OSG;CN;0.000581797
2023-12-18;SA23Z6;SA;0.000269951
2023-12-18;TW05JD;TW;0.000504749
2023-12-18;MY22XL;MY;0.00026528
2023-12-18;412162;TR;0.000281448
2023-12-18;KR10GS;KR;0.000527213
2023-12-18;IN07MY;IN;0.000225735
2023-12-18;HK90T3;CN;0.000139284
2023-12-18;TW07SO;TW;0.000567954
2023-12-18;TR8080;TR;0.000217434
2023-12-18;KR235L;KR;0.000451506
2023-12-18;TH90BU;TH;0.000268305
2023-12-18;BR703C;BR;0.000876489
2023-12-18;KR715O;KR;0.000610086
2023-12-18;KR14UA;KR;0.000314415
2023-12-18;IN062D;IN;0.000514737
2023-12-18;PH106D;PH;0.000263017
2023-12-18;KR013F;KR;0.000239679
2023-12-18;IN82BQ;IN;0.000523506
2023-12-18;TW1AHH;TW;0.000513317
2023-12-18;MY80B3;MY;0.000504355
2023-12-18;IN09S6;IN;0.000292629
2023-12-18;CL7026;CL;0.000690149
2023-12-18;ZA107H;ZA;0.000693503
2023-12-18;TW07OK;TW;0.000814128
2023-12-18;TW154Z;TW;0.000801573
2023-12-18;KR02U7;KR;0.000313249
2023-12-18;BM1053;CN;0.000216966
2023-12-18;EG2152;EG;0.00020597
2023-12-18;KR1BAX;KR;0.000609005
2023-12-18;IN213B;IN;0.000489477
