,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
176995,2023-12-18,2054,447757,TRAIZMDC91G6,IZMIR DEMIR CELIK,TR,TRY,55102010.0,1.0,120168889.0,0.00017075778765806158
175528,2023-12-18,2054,ZA20ZA,ZAE000170049,PPC,ZA,ZAR,50101030.0,1.0,261968788.0,0.00017065215460391648
175271,2023-12-18,2054,TW01RH,TW0001714004,Ho Tung Chemical,TW,TWD,55201000.0,1.0,254284178.0,0.00017056629178938013
177247,2023-12-18,2054,TH00U4,TH0592010Z06,BEC World PCL,TH,THB,40301035.0,0.8897586,119261252.0,0.0001702030561067851
177101,2023-12-18,2054,TR10ZK,TREGDKM00012,GEDIK YATIRIM VE MENKUL DEGER.,TR,TRY,30202015.0,1.0,39151455.0,0.00017007001323554997
177394,2023-12-18,2054,ID001W,ID1000111800,TIMAH,ID,IDR,55102000.0,1.0,102399795.0,0.00016978971295074038
175282,2023-12-18,2054,TW1392,TW0002314002,MICROELS.TECH.,TW,TWD,15101010.0,1.0,239766331.0,0.000169682784767948
174934,2023-12-18,2054,IN50CM,INE612J01015,REPCO HOME FINANCE,IN,INR,30201025.0,1.0,190669204.0,0.00016897089868136105
174928,2023-12-18,2054,IN805I,INE128A01029,EVEREADY INDS.(INDIA),IN,INR,45201030.0,1.0,201638583.0,0.00016846223554646973
177004,2023-12-18,2054,ET007,TRAKARSN91H7,KARSAN OTOMOTIV,TR,TRY,40101020.0,1.0,109611966.0,0.00016844544261685872
177009,2023-12-18,2054,731405,TRAGSRAY91X9,GALATASARAY,TR,TRY,40501030.0,1.0,105376638.0,0.00016840986807776327
175801,2023-12-18,2054,KR91PA,KR7089010003,CHEMTRONICS,KR,KRW,10102015.0,1.0,239167144.0,0.00016826848666845576
177100,2023-12-18,2054,TR00ZJ,TRASMENS91H3,TURK PRYS.KABLO VE SIST.,TR,TRY,50202010.0,1.0,39171840.0,0.00016791101735204065
175815,2023-12-18,2054,KR07J1,KR7200710002,ADTECHNOLOGY,KR,KRW,10102010.0,1.0,224167102.0,0.00016765232581640447
174943,2023-12-18,2054,IN70FR,INE274G01010,DHANI SERVICES,IN,INR,30202015.0,1.0,176601527.0,0.00016755237354388263
175326,2023-12-18,2054,TW07TP,TW0006120009,Darwin Precisions Corp,TW,TWD,10102015.0,1.0,168587239.0,0.00016703915561518305
175266,2023-12-18,2054,TW18CA,TW0009924001,TAIWAN FU HSING,TW,TWD,50101035.0,1.0,261504786.0,0.00016700204087942858
176845,2023-12-18,2054,CN8E1M,KYG407691040,GREATVIEW ASEPTIC PACK.,CN,HKD,50203030.0,1.0,166933790.0,0.000166871926410638
176841,2023-12-18,2054,CN4CKZ,KYG8872R1011,3D MEDICINES,CN,HKD,20103015.0,1.0,171624776.0,0.0001668349065318927
175283,2023-12-18,2054,TW11XO,TW0002369006,LINGSEN PRECISION IND.,TW,TWD,10102020.0,1.0,239006705.0,0.00016581736584966907
177204,2023-12-18,2054,TH309M,THA996010007,BA AIRPORT LEASEHOLD REIT,TH,THB,35102070.0,1.0,214732034.0,0.00016577291370354852
176598,2023-12-18,2054,MY21I5,MYL9059OO006,TSH RESOURCES,MY,MYR,45102010.0,1.0,201313795.0,0.0001657195240092008
176657,2023-12-18,2054,MY30M9,MYL5313OO001,RADIUM DEVELOPMENT,MY,MYR,35101010.0,1.0,92715200.0,0.00016551803447283395
177228,2023-12-18,2054,TH603J,TH0467A10Z09,KARMARTS,TH,THB,45201020.0,0.4947272,154074032.0,0.00016546941710636644
175245,2023-12-18,2054,TW043W,TW0002489002,Amtran,TW,TWD,40203010.0,1.0,301463823.0,0.00016515744690419578
175304,2023-12-18,2054,TW11JA,TW0002832003,TFM Ins,TW,TWD,30302025.0,1.0,200654148.0,0.0001649495133294444
175793,2023-12-18,2054,KR22VA,KR7432320000,KB STAR REIT,KR,KRW,35102030.0,1.0,247416366.0,0.0001645034866312678
174951,2023-12-18,2054,IN614G,INE836B01017,SATIN CREDITCARE NETWORK,IN,INR,30201020.0,1.0,153991161.0,0.00016364052091873512
175267,2023-12-18,2054,TW16B7,TW0001321008,Ocean Plas,TW,TWD,50203015.0,1.0,261451797.0,0.0001634143550062035
177054,2023-12-18,2054,TR12L8,TREPNTA00042,PENTA TEKNOLOJI,TR,TRY,10101010.0,1.0,70349892.0,0.00016332342047789875
175410,2023-12-18,2054,EW054,PLLWBGD00016,BOGDANKA,PL,PLN,60101040.0,1.0,105102027.0,0.00016322126827922868
176848,2023-12-18,2054,HK20Y1,KYG4815A1076,ALL.INTL.EDU.LEASING HOLDINGS,CN,HKD,30201020.0,1.0,140797754.0,0.00016295627588130257
177234,2023-12-18,2054,TH011C,TH0073A10Z05,SINGER THAILAND,TH,THB,40202020.0,0.9598433,139280833.0,0.00016259750716980922
175284,2023-12-18,2054,TW110R,TW0008039009,Taiflex Sci,TW,TWD,10102015.0,1.0,238365776.0,0.00016241497065333136
175759,2023-12-18,2054,KR08UD,KR7047920004,MEDIFORUM PHARMACEUTICAL,KR,KRW,20103015.0,1.0,281097474.0,0.00016159531271308877
177258,2023-12-18,2054,TH107I,TH8206010002,SERMSANG POWER CORPORATION,TH,THB,65101010.0,0.6735578,99375652.0,0.00016145362787781876
175531,2023-12-18,2054,ZA105F,ZAE000167391,TRANSACTION CAPITAL,ZA,ZAR,30201020.0,1.0,245609618.0,0.0001603215284301013
175287,2023-12-18,2054,TW12PH,TW0001310001,Twn Styrene Mono,TW,TWD,50203015.0,1.0,233748950.0,0.00015994344192951177
174900,2023-12-18,2054,IN819N,INE083A01026,MOREPEN LABORATORIES,IN,INR,20103015.0,1.0,266809666.0,0.0001599406655865429
175803,2023-12-18,2054,KR16AS,KR7005690003,PHARMICELL,KR,KRW,20103010.0,1.0,236697700.0,0.0001596909938108529
175415,2023-12-18,2054,PL301E,PLZEPAK00012,ZESPOL ELEKTROWNI PAK,PL,PLN,65101015.0,1.0,92995512.0,0.00015942010098059207
177451,2023-12-18,2054,EG20GC,EGS673T1C012,GB CORP,EG,EGP,40101025.0,1.0,138539660.0,0.00015925108665999617
175281,2023-12-18,2054,TW404X,TW0008114000,POSIFLEX TECHNOLOGIES,TW,TWD,10102030.0,1.0,240078591.0,0.00015920298771871947
177262,2023-12-18,2054,TH20P1,TH0815010002,POLYPLEX (THAILAND),TH,THB,50203015.0,1.0,86300707.0,0.00015901828384833923
175276,2023-12-18,2054,TW15RM,TW0003450003,Elite Advanced,TW,TWD,10102010.0,1.0,250840832.0,0.00015901452406948943
175835,2023-12-18,2054,KR30ZD,KR7270520000,G ENONE ENERGY,KR,KRW,60102020.0,1.0,205990728.0,0.00015892770512740284
177389,2023-12-18,2054,ID2041,ID1000105604,GLOBAL MEDIACOM,ID,IDR,40301035.0,1.0,132518814.0,0.00015854661232355422
175322,2023-12-18,2054,TW12YQ,TW0002102001,Federal Corp,TW,TWD,40101015.0,1.0,172069661.0,0.0001585371093069744
177455,2023-12-18,2054,EG00A4,EGS655L1C012,PALM HILLS DEVS.SAE,EG,EGP,35101010.0,1.0,115546704.0,0.00015841764698978634
177063,2023-12-18,2054,TR30OB,TREGKNR00036,GOKNUR GIDA MADDELERI ENJ.IMALATI,TR,TRY,45102030.0,1.0,65652007.0,0.00015812882627918415
175779,2023-12-18,2054,KR17YH,KR7003541000,DAISHIN SECURITIES PF.,KR,KRW,30202015.0,1.0,260120532.0,0.0001580105031465231
176610,2023-12-18,2054,MY404S,MYL5216OO006,DATASONIC GROUP,MY,MYR,10101010.0,1.0,178628813.0,0.00015767975473724038
175529,2023-12-18,2054,ZA20U5,ZAE000203238,SA CORPORATE REAL ESTATE,ZA,ZAR,35102000.0,1.0,252299596.0,0.00015739420627916572
175317,2023-12-18,2054,TW07RN,TW0006115009,I Sheng Electric,TW,TWD,50202010.0,1.0,181307619.0,0.00015671095537553767
177076,2023-12-18,2054,TR30AX,TRESUNT00010,SUN TEKSTIL SANAYI VE TICARET,TR,TRY,40204020.0,1.0,52766145.0,0.00015645539996013517
176974,2023-12-18,2054,TR403R,TRALOGOW91U2,LOGO YAZILIM SANAYI,TR,TRY,10101015.0,1.0,169015466.0,0.00015613269936327393
177029,2023-12-18,2054,TR80D5,TRAPARSN91H6,PARSAN,TR,TRY,40101025.0,1.0,84049403.0,0.0001560589572964557
