,frm_currency,to_currency,cutoff_date,exchange_rate
0,PHP,USD,1999-11-30,0.0244386913
0,THB,USD,1999-11-30,0.025695228
0,USD,USD,1999-11-30,1.0
0,CLP,USD,1999-11-30,0.001837664
0,MXN,USD,1999-11-30,0.1061765294
0,ZAR,USD,1999-11-30,0.1622651853
0,EGP,USD,1999-11-30,0.2932849178
0,HUF,USD,1999-11-30,0.0039747169
0,TRY,USD,1999-11-30,1.9340005306
0,IDR,USD,1999-11-30,0.0001370707
0,CNY,USD,1999-11-30,0.1210278231
0,INR,USD,1999-11-30,0.0230779329
0,ARS,USD,1999-11-30,1.0020861151
0,BRL,USD,1999-11-30,0.5215841704
0,PLN,USD,1999-11-30,0.2353449099
0,GRD,USD,1999-11-30,0.003072291
0,CZK,USD,1999-11-30,0.0279614746
0,MAD,USD,1999-11-30,0.0996060777
0,AUD,USD,1999-11-30,0.6351
0,RUB,USD,1999-11-30,0.0375275096
0,COP,USD,1999-11-30,0.0005217999
0,SGD,USD,1999-11-30,0.5948839976
0,JOD,USD,1999-11-30,1.4102600141
0,JPY,USD,1999-11-30,0.0097924011
0,GBP,USD,1999-11-30,1.597699313
0,PKR,USD,1999-11-30,0.0193079461
0,SAR,USD,1999-11-30,0.2666240139344109
0,KWD,USD,1999-11-30,3.2851514407179474
0,QAR,USD,1999-11-30,0.27468767873583894
0,AED,USD,1999-11-30,0.27225712180388856
0,KRW,USD,2000-02-29,0.0008852853
0,MYR,USD,2000-02-29,0.2635096495
0,HKD,USD,2000-02-29,0.1284868108
0,TWD,USD,2000-02-29,0.0325853414
0,ILS,USD,2000-02-29,0.2475288072
0,EUR,USD,2000-02-29,0.96405
0,PHP,USD,2000-02-29,0.0244351094
0,THB,USD,2000-02-29,0.0262718457
0,USD,USD,2000-02-29,1.0
0,CLP,USD,2000-02-29,0.0019941262
0,MXN,USD,2000-02-29,0.1068898429
0,ZAR,USD,2000-02-29,0.1578236914
0,EGP,USD,2000-02-29,0.2921896219
0,HUF,USD,2000-02-29,0.0037537526
0,TRY,USD,2000-02-29,1.7420844709
0,IDR,USD,2000-02-29,0.0001348619
0,CNY,USD,2000-02-29,0.1209552996
0,INR,USD,2000-02-29,0.0229608533
0,ARS,USD,2000-02-29,1.001506337
0,BRL,USD,2000-02-29,0.5658898803
0,PLN,USD,2000-02-29,0.2404175747
0,GRD,USD,2000-02-29,0.0028899228
0,CZK,USD,2000-02-29,0.0271012272
0,MAD,USD,2000-02-29,0.0963943966
0,AUD,USD,2000-02-29,0.6174
0,RUB,USD,2000-02-29,0.0348902985
0,COP,USD,2000-02-29,0.0005141062
0,SGD,USD,2000-02-29,0.5803830528
0,JOD,USD,2000-02-29,1.4102547618
0,JPY,USD,2000-02-29,0.0090719405
0,GBP,USD,2000-02-29,1.579778831
0,PKR,USD,2000-02-29,0.0192957037
0,SAR,USD,2000-02-29,0.2666454345795292
0,KWD,USD,2000-02-29,3.2594535806385063
0,QAR,USD,2000-02-29,0.2747405062181744
0,AED,USD,2000-02-29,0.27227196963884376
0,KRW,USD,2000-05-31,0.0008902163
0,MYR,USD,2000-05-31,0.2646066112
0,HKD,USD,2000-05-31,0.1283367556
0,TWD,USD,2000-05-31,0.03263548
0,ILS,USD,2000-05-31,0.2407321914
0,EUR,USD,2000-05-31,0.9325
0,PHP,USD,2000-05-31,0.0235755465
0,THB,USD,2000-05-31,0.0256472394
0,USD,USD,2000-05-31,1.0
0,CLP,USD,2000-05-31,0.0019199917
0,MXN,USD,2000-05-31,0.1057579997
0,ZAR,USD,2000-05-31,0.1443632692
0,EGP,USD,2000-05-31,0.2916980118
0,HUF,USD,2000-05-31,0.0035954346
0,TRY,USD,2000-05-31,1.6307949204
0,IDR,USD,2000-05-31,0.0001170546
0,CNY,USD,2000-05-31,0.1214762239
0,INR,USD,2000-05-31,0.0225569559
0,ARS,USD,2000-05-31,1.0056076999
0,BRL,USD,2000-05-31,0.5507974336
0,PLN,USD,2000-05-31,0.2285203268
0,GRD,USD,2000-05-31,0.0027860586
0,CZK,USD,2000-05-31,0.0258025114
0,MAD,USD,2000-05-31,0.0947778233
0,AUD,USD,2000-05-31,0.5722
0,RUB,USD,2000-05-31,0.0355897203
0,COP,USD,2000-05-31,0.0004794941
0,SGD,USD,2000-05-31,0.5773672055
0,JOD,USD,2000-05-31,1.4141644133
0,JPY,USD,2000-05-31,0.0092928167
0,GBP,USD,2000-05-31,1.501726986
0,PKR,USD,2000-05-31,0.0193161011
0,SAR,USD,2000-05-31,0.2666168981790066
0,KWD,USD,2000-05-31,3.2552087571886403
0,QAR,USD,2000-05-31,0.27467249836665997
0,AED,USD,2000-05-31,0.2722570550923586
0,KRW,USD,2000-08-31,0.0009003949
0,MYR,USD,2000-08-31,0.2627131264
0,HKD,USD,2000-08-31,0.128223211
0,TWD,USD,2000-08-31,0.0321285068
0,ILS,USD,2000-08-31,0.2485229746
0,EUR,USD,2000-08-31,0.88755
0,PHP,USD,2000-08-31,0.022123269
0,THB,USD,2000-08-31,0.0244235023
0,USD,USD,2000-08-31,1.0
0,CLP,USD,2000-08-31,0.0017714714
0,MXN,USD,2000-08-31,0.1084467712
0,ZAR,USD,2000-08-31,0.1431786446
0,EGP,USD,2000-08-31,0.2840069844
0,HUF,USD,2000-08-31,0.0033960257
0,TRY,USD,2000-08-31,1.5247001423
0,IDR,USD,2000-08-31,0.0001200616
0,CNY,USD,2000-08-31,0.1205893975
0,INR,USD,2000-08-31,0.0218115262
0,ARS,USD,2000-08-31,0.9984812802
0,BRL,USD,2000-08-31,0.5486834041
0,PLN,USD,2000-08-31,0.2275827877
0,GRD,USD,2000-08-31,0.0026338663
0,CZK,USD,2000-08-31,0.0251489057
0,MAD,USD,2000-08-31,0.0919674249
0,AUD,USD,2000-08-31,0.5767
0,RUB,USD,2000-08-31,0.0359428171
0,COP,USD,2000-08-31,0.0004507462
0,SGD,USD,2000-08-31,0.5810575247
0,JOD,USD,2000-08-31,1.4039071025
0,JPY,USD,2000-08-31,0.0093791034
0,GBP,USD,2000-08-31,1.4482259232
0,PKR,USD,2000-08-31,0.0182523606
0,SAR,USD,2000-08-31,0.2666168981790066
0,KWD,USD,2000-08-31,3.2456995535767463
0,QAR,USD,2000-08-31,0.27470264949057216
0,AED,USD,2000-08-31,0.2722570550923586
0,KRW,USD,2000-11-30,0.0008235097
0,MYR,USD,2000-11-30,0.2634148952
0,HKD,USD,2000-11-30,0.1282117032
0,TWD,USD,2000-11-30,0.0302702478
0,ILS,USD,2000-11-30,0.2443151686
0,EUR,USD,2000-11-30,0.87135
0,PHP,USD,2000-11-30,0.0201707954
0,THB,USD,2000-11-30,0.022842922
0,USD,USD,2000-11-30,1.0
0,CLP,USD,2000-11-30,0.0017316439
0,MXN,USD,2000-11-30,0.1063685741
0,ZAR,USD,2000-11-30,0.1292842614
0,EGP,USD,2000-11-30,0.2647193418
0,HUF,USD,2000-11-30,0.0032885767
0,TRY,USD,2000-11-30,1.4659017722
0,IDR,USD,2000-11-30,0.0001049792
0,CNY,USD,2000-11-30,0.1209234362
0,INR,USD,2000-11-30,0.0213632712
0,ARS,USD,2000-11-30,1.0012064805
0,BRL,USD,2000-11-30,0.5088771274
0,PLN,USD,2000-11-30,0.2231199085
0,GRD,USD,2000-11-30,0.002566274
0,CZK,USD,2000-11-30,0.0251400055
0,MAD,USD,2000-11-30,0.0908318613
0,AUD,USD,2000-11-30,0.528
0,RUB,USD,2000-11-30,0.0358335605
0,COP,USD,2000-11-30,0.0004622486
0,SGD,USD,2000-11-30,0.5706785368
0,JOD,USD,2000-11-30,1.4079012286
0,JPY,USD,2000-11-30,0.0090612541
0,GBP,USD,2000-11-30,1.4255167498
0,PKR,USD,2000-11-30,0.017317933
0,SAR,USD,2000-11-30,0.266602724669182
0,KWD,USD,2000-11-30,3.254149251815767
0,QAR,USD,2000-11-30,0.2747177577228931
0,AED,USD,2000-11-30,0.2722644750973706
0,KRW,USD,2001-02-28,0.0007997691
0,MYR,USD,2001-02-28,0.2639433924
0,HKD,USD,2001-02-28,0.1282084156
0,TWD,USD,2001-02-28,0.0310091024
0,ILS,USD,2001-02-28,0.2438595564
0,EUR,USD,2001-02-28,0.92235
0,PHP,USD,2001-02-28,0.0207658437
0,THB,USD,2001-02-28,0.0232928478
0,USD,USD,2001-02-28,1.0
0,CLP,USD,2001-02-28,0.0017472176
0,MXN,USD,2001-02-28,0.1033468537
0,ZAR,USD,2001-02-28,0.1298188665
0,EGP,USD,2001-02-28,0.2583324503
0,HUF,USD,2001-02-28,0.0034655186
0,TRY,USD,2001-02-28,1.0393648551
0,IDR,USD,2001-02-28,0.0001018005
0,CNY,USD,2001-02-28,0.1211577917
0,INR,USD,2001-02-28,0.0215441948
0,ARS,USD,2001-02-28,1.0030995106
0,BRL,USD,2001-02-28,0.4908205619
0,PLN,USD,2001-02-28,0.2476838865
0,GRD,USD,2001-02-28,0.0027068232
0,CZK,USD,2001-02-28,0.0266072997
0,MAD,USD,2001-02-28,0.0934659512
0,AUD,USD,2001-02-28,0.5257
0,RUB,USD,2001-02-28,0.0349838921
0,COP,USD,2001-02-28,0.0004431147
0,SGD,USD,2001-02-28,0.5732301519
0,JOD,USD,2001-02-28,1.4105368441
0,JPY,USD,2001-02-28,0.0085215168
0,GBP,USD,2001-02-28,1.4463407579
0,PKR,USD,2001-02-28,0.0166278195
0,SAR,USD,2001-02-28,0.266638253694353
0,KWD,USD,2001-02-28,3.259452943196373
0,QAR,USD,2001-02-28,0.2747253200096681
0,AED,USD,2001-02-28,0.2722570550923586
0,KRW,USD,2001-05-31,0.0007793967
0,MYR,USD,2001-05-31,0.2627371558
0,HKD,USD,2001-05-31,0.1282075937
