,frm_currency,to_currency,cutoff_date,exchange_rate
0,CZK,USD,2000-04-28,0.02505700656922047
0,MAD,USD,2000-04-28,0.09359702735841109
0,AUD,USD,2000-04-28,0.5836
0,RUB,USD,2000-04-28,0.03517412051420484
0,COP,USD,2000-04-28,0.0004988775255674732
0,SGD,USD,2000-04-28,0.5859260561
0,JOD,USD,2000-04-28,1.408450743900021
0,JPY,USD,2000-04-28,0.0092472721
0,GBP,USD,2000-04-28,1.5523129463
0,PKR,USD,2000-04-28,0.019269682873048054
0,SAR,USD,2000-04-28,0.2666168981790066
0,KWD,USD,2000-04-28,3.246753562995477
0,QAR,USD,2000-04-28,0.27467249836665997
0,AED,USD,2000-04-28,0.2722570550923586
0,KRW,USD,2000-08-31,0.0009019165727170237
0,MYR,USD,2000-08-31,0.2631579432133053
0,HKD,USD,2000-08-31,0.128223211
0,TWD,USD,2000-08-31,0.03218280347297505
0,ILS,USD,2000-08-31,0.24894203989530195
0,EUR,USD,2000-08-31,0.88755
0,PHP,USD,2000-08-31,0.0221606648199446
0,THB,USD,2000-08-31,0.024464831804281346
0,USD,USD,2000-08-31,1.0
0,CLP,USD,2000-08-31,0.0017744660405439583
0,MXN,USD,2000-08-31,0.10863071344187865
0,ZAR,USD,2000-08-31,0.1434205829102988
0,EGP,USD,2000-08-31,0.2844950698995852
0,HUF,USD,2000-08-31,0.0034017673244302704
0,TRY,USD,2000-08-31,1.5272772868896456
0,IDR,USD,2000-08-31,0.00012026458208057727
0,CNY,USD,2000-08-31,0.12079337377801497
0,INR,USD,2000-08-31,0.021848377069778692
0,ARS,USD,2000-08-31,1.0002000700200062
0,BRL,USD,2000-08-31,0.549601538884309
0,PLN,USD,2000-08-31,0.2279722133788001
0,GRD,USD,2000-08-31,0.0026338663
0,CZK,USD,2000-08-31,0.025191455058444178
0,MAD,USD,2000-08-31,0.09212344541685859
0,AUD,USD,2000-08-31,0.5767
0,RUB,USD,2000-08-31,0.03600360813759312
0,COP,USD,2000-08-31,0.0004515080572290075
0,SGD,USD,2000-08-31,0.5810575247
0,JOD,USD,2000-08-31,1.4064698202448587
0,JPY,USD,2000-08-31,0.0093791034
0,GBP,USD,2000-08-31,1.4482259232
0,PKR,USD,2000-08-31,0.01828320921441566
0,SAR,USD,2000-08-31,0.2666168981790066
0,KWD,USD,2000-08-31,3.2456995535767463
0,QAR,USD,2000-08-31,0.27470264949057216
0,AED,USD,2000-08-31,0.2722570550923586
0,KRW,USD,2000-10-31,0.0008791208791208791
0,MYR,USD,2000-10-31,0.2631579432133053
0,HKD,USD,2000-10-31,0.1282478775
0,TWD,USD,2000-10-31,0.030901400337128095
0,ILS,USD,2000-10-31,0.2416626623163521
0,EUR,USD,2000-10-31,0.84895
0,PHP,USD,2000-10-31,0.019550344424282825
0,THB,USD,2000-10-31,0.022735030539739173
0,USD,USD,2000-10-31,1.0
0,CLP,USD,2000-10-31,0.0017530021388729696
0,MXN,USD,2000-10-31,0.10448775427029697
0,ZAR,USD,2000-10-31,0.1322978871617297
0,EGP,USD,2000-10-31,0.2675585785393993
0,HUF,USD,2000-10-31,0.003219265216235308
0,TRY,USD,2000-10-31,1.4644826563442508
0,IDR,USD,2000-10-31,0.00010683760683760684
0,CNY,USD,2000-10-31,0.12080943481093905
0,INR,USD,2000-10-31,0.02135155697261569
0,ARS,USD,2000-10-31,1.0002000700200062
0,BRL,USD,2000-10-31,0.5239717604371769
0,PLN,USD,2000-10-31,0.21521576768852477
0,GRD,USD,2000-10-31,0.002499875
0,CZK,USD,2000-10-31,0.024308433572805436
0,MAD,USD,2000-10-31,0.08979885057471265
0,AUD,USD,2000-10-31,0.5185
0,RUB,USD,2000-10-31,0.035865447045402676
0,COP,USD,2000-10-31,0.0004662004662004662
0,SGD,USD,2000-10-31,0.5699629524
0,JOD,USD,2000-10-31,1.409443349369604
0,JPY,USD,2000-10-31,0.0091852668
0,GBP,USD,2000-10-31,1.447596989
0,PKR,USD,2000-10-31,0.017391304347826087
0,SAR,USD,2000-10-31,0.266602724669182
0,KWD,USD,2000-10-31,3.2456995535767463
0,QAR,USD,2000-10-31,0.27466493898757843
0,AED,USD,2000-10-31,0.2722718955068385
0,KRW,USD,2001-02-28,0.0007973846421644719
