,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,GRD,USD,1999-02-25,0.00343619,1999-02-26
0,CZK,USD,1999-02-25,0.0290840152,1999-02-26
0,MAD,USD,1999-02-25,0.1036403776,1999-02-26
0,AUD,USD,1999-02-25,0.6248,1999-02-26
0,RUB,USD,1999-02-25,0.0433280276,1999-02-26
0,COP,USD,1999-02-25,0.0006356046,1999-02-26
0,SGD,USD,1999-02-25,0.5788712012,1999-02-26
0,JOD,USD,1999-02-25,1.4058876362,1999-02-26
0,JPY,USD,1999-02-25,0.0083451556,1999-02-26
0,GBP,USD,1999-02-25,1.6025641026,1999-02-26
0,PKR,USD,1999-02-25,0.0198880522,1999-02-26
0,SAR,USD,1999-02-25,0.26646770411426135,1999-02-26
0,KWD,USD,1999-02-25,3.2808401102913454,1999-02-26
0,QAR,USD,1999-02-25,0.27468767873583894,1999-02-26
0,AED,USD,1999-02-25,0.2722496280797831,1999-02-26
0,KRW,USD,1999-05-30,0.0008415432,1999-05-31
0,MYR,USD,1999-05-30,0.2364765497,1999-05-31
0,HKD,USD,1999-05-30,0.1289557166,1999-05-31
0,TWD,USD,1999-05-30,0.0304762499,1999-05-31
0,ILS,USD,1999-05-30,0.2424827895,1999-05-31
0,EUR,USD,1999-05-30,1.0427,1999-05-31
0,PHP,USD,1999-05-30,0.0262271076,1999-05-31
0,THB,USD,1999-05-30,0.0268661488,1999-05-31
0,USD,USD,1999-05-30,1.0,1999-05-31
0,CLP,USD,1999-05-30,0.0020219711,1999-05-31
0,MXN,USD,1999-05-30,0.1015196326,1999-05-31
0,ZAR,USD,1999-05-30,0.1599895791,1999-05-31
0,EGP,USD,1999-05-30,0.2924116064,1999-05-31
0,HUF,USD,1999-05-30,0.004176807,1999-05-31
0,TRY,USD,1999-05-30,2.4537592191,1999-05-31
0,IDR,USD,1999-05-30,0.0001226351,1999-05-31
0,CNY,USD,1999-05-30,0.1205452564,1999-05-31
0,INR,USD,1999-05-30,0.0232512601,1999-05-31
0,ARS,USD,1999-05-30,0.9986601589,1999-05-31
0,BRL,USD,1999-05-30,0.575184813,1999-05-31
0,PLN,USD,1999-05-30,0.2505522655,1999-05-31
0,GRD,USD,1999-05-30,0.0032079043,1999-05-31
0,CZK,USD,1999-05-30,0.0277599776,1999-05-31
0,MAD,USD,1999-05-30,0.1004282758,1999-05-31
0,AUD,USD,1999-05-30,0.6528,1999-05-31
0,RUB,USD,1999-05-30,0.0403536316,1999-05-31
0,COP,USD,1999-05-30,0.000597571,1999-05-31
0,SGD,USD,1999-05-30,0.5798782256,1999-05-31
0,JOD,USD,1999-05-30,1.4025538389,1999-05-31
0,JPY,USD,1999-05-30,0.0082263903,1999-05-31
0,GBP,USD,1999-05-30,1.6017940093,1999-05-31
0,PKR,USD,1999-05-30,0.0193138138,1999-05-31
0,SAR,USD,1999-05-30,0.266631130069651,1999-05-31
0,KWD,USD,1999-05-30,3.264773204857107,1999-05-31
0,QAR,USD,1999-05-30,0.2746422784323419,1999-05-31
0,AED,USD,1999-05-30,0.27225712180388856,1999-05-31
0,KRW,USD,1999-08-30,0.0008473214,1999-08-31
0,MYR,USD,1999-08-30,0.2377691443,1999-08-31
0,HKD,USD,1999-08-30,0.1287879764,1999-08-31
0,TWD,USD,1999-08-30,0.0315063195,1999-08-31
0,ILS,USD,1999-08-30,0.2368612127,1999-08-31
0,EUR,USD,1999-08-30,1.0483,1999-08-31
0,PHP,USD,1999-08-30,0.0252426805,1999-08-31
0,THB,USD,1999-08-30,0.0261812729,1999-08-31
0,USD,USD,1999-08-30,1.0,1999-08-31
0,CLP,USD,1999-08-30,0.001941184,1999-08-31
0,MXN,USD,1999-08-30,0.1065172482,1999-08-31
0,ZAR,USD,1999-08-30,0.1647752383,1999-08-31
0,EGP,USD,1999-08-30,0.2942928082,1999-08-31
0,HUF,USD,1999-08-30,0.004145415,1999-08-31
0,TRY,USD,1999-08-30,2.2418791494,1999-08-31
0,IDR,USD,1999-08-30,0.0001294707,1999-08-31
0,CNY,USD,1999-08-30,0.1212258004,1999-08-31
0,INR,USD,1999-08-30,0.0230705932,1999-08-31
0,ARS,USD,1999-08-30,1.0034462535,1999-08-31
0,BRL,USD,1999-08-30,0.5123155617,1999-08-31
0,PLN,USD,1999-08-30,0.2512282216,1999-08-31
0,GRD,USD,1999-08-30,0.0032134709,1999-08-31
0,CZK,USD,1999-08-30,0.0286186265,1999-08-31
0,MAD,USD,1999-08-30,0.1013731748,1999-08-31
0,AUD,USD,1999-08-30,0.6353,1999-08-31
0,RUB,USD,1999-08-30,0.0405126225,1999-08-31
0,COP,USD,1999-08-30,0.0005114158,1999-08-31
0,SGD,USD,1999-08-30,0.5927682276,1999-08-31
0,JOD,USD,1999-08-30,1.4110917438,1999-08-31
0,JPY,USD,1999-08-30,0.0090432266,1999-08-31
0,GBP,USD,1999-08-30,1.5888021226,1999-08-31
0,PKR,USD,1999-08-30,0.0193519367,1999-08-31
0,SAR,USD,1999-08-30,0.266638253694353,1999-08-31
0,KWD,USD,1999-08-30,3.278689707068419,1999-08-31
0,QAR,USD,1999-08-30,0.2746498365641218,1999-08-31
0,AED,USD,1999-08-30,0.27225712180388856,1999-08-31
0,KRW,USD,1999-11-29,0.0008659159,1999-11-30
0,MYR,USD,1999-11-29,0.2641323074,1999-11-30
0,HKD,USD,1999-11-29,0.1286852231,1999-11-30
0,TWD,USD,1999-11-29,0.0316657481,1999-11-30
0,ILS,USD,1999-11-29,0.2372252489,1999-11-30
0,EUR,USD,1999-11-29,1.0102,1999-11-30
0,PHP,USD,1999-11-29,0.0245109767,1999-11-30
0,THB,USD,1999-11-29,0.0257233593,1999-11-30
0,USD,USD,1999-11-29,1.0,1999-11-30
0,CLP,USD,1999-11-29,0.0018384941,1999-11-30
0,MXN,USD,1999-11-29,0.1071671245,1999-11-30
0,ZAR,USD,1999-11-29,0.1623750699,1999-11-30
0,EGP,USD,1999-11-29,0.2935093552,1999-11-30
0,HUF,USD,1999-11-29,0.0039811435,1999-11-30
0,TRY,USD,1999-11-29,1.9413865386,1999-11-30
0,IDR,USD,1999-11-29,0.0001365614,1999-11-30
0,CNY,USD,1999-11-29,0.1212390438,1999-11-30
0,INR,USD,1999-11-29,0.0231286666,1999-11-30
0,ARS,USD,1999-11-29,1.0038755838,1999-11-30
0,BRL,USD,1999-11-29,0.5230404442,1999-11-30
0,PLN,USD,1999-11-29,0.2320751896,1999-11-30
0,GRD,USD,1999-11-29,0.0030776807,1999-11-30
0,CZK,USD,1999-11-29,0.0280276337,1999-11-30
0,MAD,USD,1999-11-29,0.099814244,1999-11-30
0,AUD,USD,1999-11-29,0.6365,1999-11-30
0,RUB,USD,1999-11-29,0.0378121519,1999-11-30
0,COP,USD,1999-11-29,0.000521416,1999-11-30
0,SGD,USD,1999-11-29,0.594000594,1999-11-30
0,JOD,USD,1999-11-29,1.4136580499,1999-11-30
0,JPY,USD,1999-11-29,0.0097570495,1999-11-30
0,GBP,USD,1999-11-29,1.6069419894,1999-11-30
0,PKR,USD,1999-11-29,0.0193451908,1999-11-30
0,SAR,USD,1999-11-29,0.2666240139344109,1999-11-30
0,KWD,USD,1999-11-29,3.282995276196587,1999-11-30
0,QAR,USD,1999-11-29,0.2747782299253551,1999-11-30
0,AED,USD,1999-11-29,0.27225712180388856,1999-11-30
0,KRW,USD,2000-02-28,0.0008828586,2000-02-29
0,MYR,USD,2000-02-28,0.2635741361,2000-02-29
0,HKD,USD,2000-02-28,0.1285016705,2000-02-29
0,TWD,USD,2000-02-28,0.032572454,2000-02-29
0,ILS,USD,2000-02-28,0.2474956416,2000-02-29
0,EUR,USD,2000-02-28,0.96845,2000-02-29
0,PHP,USD,2000-02-28,0.0244293436,2000-02-29
0,THB,USD,2000-02-28,0.0263961325,2000-02-29
0,USD,USD,2000-02-28,1.0,2000-02-29
0,CLP,USD,2000-02-28,0.0019969167,2000-02-29
0,MXN,USD,2000-02-28,0.1066105275,2000-02-29
0,ZAR,USD,2000-02-28,0.1573104077,2000-02-29
0,EGP,USD,2000-02-28,0.2925654216,2000-02-29
0,HUF,USD,2000-02-28,0.003770885,2000-02-29
0,TRY,USD,2000-02-28,1.7466570486,2000-02-29
0,IDR,USD,2000-02-28,0.0001341732,2000-02-29
