,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
177046,2023-12-18,2034,TR80C4,TRACEMTS91G6,CEMTAS CK.MAKINA SANVETC,TR,TRY,55102010.0,1.0,74695697.0,0.0001143350870515496
174954,2023-12-18,2034,IN608J,INE049A01027,HIMATSINGKA SEIDE,IN,INR,55101020.0,1.0,139704678.0,0.0001137469530929511
176639,2023-12-18,2034,MY30E1,MYL5238OO000,AIRASIA X,MY,MYR,40501010.0,1.0,114703692.0,0.00011323791505902138
177090,2023-12-18,2034,B07DQ4,TREAKMG00018,AKMERKEZ GAYMEN.YATRIM ORTAKLI,TR,TRY,35102045.0,1.0,45404902.0,0.00011287198104962336
175308,2023-12-18,2034,TW05YS,TW0003041000,Ali,TW,TWD,10102010.0,1.0,192713020.0,0.00011286437148641206
175338,2023-12-18,2034,TW03PH,TW0002417003,AVERMEDIA TECHNOLOGIES,TW,TWD,10102030.0,1.0,148290685.0,0.00011254023239341296
177019,2023-12-18,2034,B03MNM,TRAALKIM91E0,ALKIM ALKALI KIMYA,TR,TRY,55201000.0,1.0,96661989.0,0.00011223994147730655
177457,2023-12-18,2034,EG2084,EGS38081C013,EGYP.INTL.PHARMS. INDS. SAE,EG,EGP,20103015.0,1.0,86070087.0,0.00011219095415543704
176654,2023-12-18,2034,MY90WP,MYL7237OO000,POWER ROOT,MY,MYR,45101020.0,1.0,94565498.0,0.00011150133035594811
175333,2023-12-18,2034,TW15ZU,TW0003501003,Well Shin,TW,TWD,50202010.0,1.0,158524849.0,0.00011136295684625808
176973,2023-12-18,2034,ET013,TRAKRDMA91G3,KARDEMIR (A),TR,TRY,55102015.0,1.0,172337989.0,0.0001111472435302091
177049,2023-12-18,2034,490804,TRATRCAS92E6,TURCAS PETROL,TR,TRY,65101015.0,1.0,74001251.0,0.00011108198444907348
177285,2023-12-18,2034,TH10S3,THA078010008,KERRY EXPRESS (THAILAND),TH,THB,50206040.0,1.0,55914254.0,0.00011105804852635597
177072,2023-12-18,2034,TR10G1,TRAVAKFN91P9,VAKIF FINANSAL KIRALAMA,TR,TRY,30202000.0,1.0,56156892.0,0.0001109429465980132
175314,2023-12-18,2034,TW15GB,TW0002405008,SHUTTLE,TW,TWD,10102030.0,1.0,184322654.0,0.00011043835811881474
174594,2023-12-18,2034,BR05Z6,BRLJQQACNOR5,LOJAS QUERO-QUERO ON,BR,BRL,40401010.0,1.0,220774960.0,0.00011039779901469274
177044,2023-12-18,2034,TR12J6,TREKZBG00026,KIZILBUK GAYMEN. YATOTA.,TR,TRY,35102015.0,1.0,75806396.0,0.00010990535069457857
175312,2023-12-18,2034,TW114V,TW0002406006,Gigastorage,TW,TWD,10102010.0,1.0,184973267.0,0.00010928657225010136
177089,2023-12-18,2034,TR10I3,TREESEN00024,ESENBOGA ELEKTRIK URETIM AS,TR,TRY,65101010.0,1.0,45843996.0,0.00010915508904132583
176987,2023-12-18,2034,TR00BV,TRECMAS00010,CEMAS DOKUM SANAYI,TR,TRY,55102015.0,1.0,136427095.0,0.00010906350124908034
176682,2023-12-18,2034,MY506V,MYL5123TO003,SENTRAL REIT,MY,MYR,35102030.0,1.0,59221485.0,0.00010886416696754613
175409,2023-12-18,2034,PL90H0,PLENTER00017,ENTER AIR,PL,PLN,40501010.0,1.0,106020390.0,0.00010884101854690236
177023,2023-12-18,2034,B03MPM,TRABAGFS91E2,BANDIRMA GUBRE FABRIKALARI,TR,TRY,55201015.0,1.0,90557991.0,0.00010866622174066911
176632,2023-12-18,2034,MY50ZO,MYL5789OO002,LBS BINA GROUP,MY,MYR,35101010.0,1.0,121555300.0,0.00010857679068297909
177092,2023-12-18,2034,TR10F0,TRAMAALT91K5,MARMARIS ALTINYUNUS,TR,TRY,40501025.0,1.0,42660334.0,0.000108294830728939
176642,2023-12-18,2034,MY24QG,MYQ0186OO005,PERAK TRANSIT,MY,MYR,50206010.0,1.0,108086702.0,0.00010789796909774978
175335,2023-12-18,2034,TW132V,TW0001455004,ZIG SHENG IND,TW,TWD,55101020.0,1.0,153982472.0,0.0001077803389198392
175401,2023-12-18,2034,PL00NX,PLVOXEL00014,VOXEL,PL,PLN,20103010.0,1.0,138318045.0,0.00010698015878070031
177065,2023-12-18,2034,TR111N,TREKRVG00013,KERVAN GIDA SANAYI VE TICARET,TR,TRY,45102020.0,1.0,64684034.0,0.00010688834106766857
175336,2023-12-18,2034,TW0920,TW0001598001,DYACO INTERNATIONAL,TW,TWD,40203050.0,1.0,151949352.0,0.00010677159835128636
175428,2023-12-18,2034,PL11MY,PLONDE000018,ONDE,PL,PLN,50101015.0,1.0,72859213.0,0.00010617778063861546
176662,2023-12-18,2034,MY10BW,MYL5916OO001,MALAYSIA SMELTING,MY,MYR,55102050.0,1.0,86398389.0,0.000105342854110237
175325,2023-12-18,2034,TW03QI,TW0002426004,TYNTEK,TW,TWD,10102010.0,1.0,170236129.0,0.00010526025446790342
177083,2023-12-18,2034,TR120N,TREULSY00014,ULUSOY UN SANAYI VE TICARET,TR,TRY,45102020.0,1.0,47375330.0,0.00010524796978714743
177017,2023-12-18,2034,B03MT9,TRAGOLTS91F0,GOLTAS CIMENTO,TR,TRY,50101030.0,1.0,98606794.0,0.00010505658522275894
