,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Source
51219,2023-12-18,1148,CN32X1,CNE0000004F3,BD5CF84,SHAANXI TRUST 'A' (CCS),CN,CNY,30202000.0,132079486.0,310174.0,5113970358.0,0.5644,0.5647,0.1062511,130808874.38198113,2180148045.5324693,0.05999999617,MID Cap Index
51126,2023-12-18,1148,CN2U94,CNE1000000F9,BD5CHL1,LEO GROUP 'A' (CCS),CN,CNY,40301020.0,135447137.0,311122.0,6754804205.0,0.831,0.8313,0.0721761,130721188.85237865,2178686773.906348,0.05999999193000001,MID Cap Index
51239,2023-12-18,1148,CN2F7N,CNE000001329,BP3RKF7,SHAANXI CONSTR. ENGIN. GP. 'A' (CCS),CN,CNY,50101010.0,126509880.0,311364.0,3768882286.0,0.3436,0.3436,0.1746217,130334670.42789842,2172243923.522106,0.06000001612,MID Cap Index
51209,2023-12-18,1148,CN2OYN,CNE100002RX7,BG139S0,RED STAR MACALLINE GROUP 'A' (CCS),CN,CNY,35101010.0,123420313.0,310421.0,3613447039.0,0.2943,0.3061,0.1960144,128911913.05779813,2148531603.555173,0.06000000784,MID Cap Index
51182,2023-12-18,1148,CN2HJ1,CNE100000HW4,BD5LX76,ZHONGSHENG PHARM 'A' (CCS),CN,CNY,20103015.0,121253915.0,310344.0,853350477.0,0.7828,0.7828,0.0766479,128811651.29884918,2146861709.4317796,0.059999976120000006,MID Cap Index
51203,2023-12-18,1148,CN2XA8,CNE100000WF8,BD5LSZ9,SICHUAN YAHUA INDUSTRIAL A (CCS),CN,CNY,55201020.0,117809235.0,311635.0,1152562520.0,0.898,0.898,0.0668151,127525020.14992672,2125418426.5291243,0.0599999598,MID Cap Index
51172,2023-12-18,1148,CN2ZCC,CNE100001WJ8,BD5M1Z3,YIXINTANG PHARMA. GROUP 'A' (CCS),CN,CNY,45201015.0,113571756.0,310427.0,596023425.0,0.5291,0.5291,0.1134001,127480650.21784289,2124677754.6968029,0.05999999291,MID Cap Index
51208,2023-12-18,1148,CN2HEW,CNE100000J34,BD5LT45,PRET COMPOSITES 'A' (CCS),CN,CNY,50203015.0,123086831.0,310437.0,1113516244.0,0.5607,0.5986,0.1002339,127420998.00641316,2123682856.2571688,0.06000001254,MID Cap Index
51012,2023-12-18,1148,CN34FL,CNE0000005V7,BHQPSZ8,HAINAN HAIDE CAPITAL MGMT.'A' (CCS),CN,CNY,30202010.0,110640824.0,318386.0,1347994590.0,0.2656,0.2656,0.2,112766517.27281708,2122863653.4792368,0.05312,MID Cap Index
51069,2023-12-18,1148,CN2YUT,CNE100002SZ0,BF2DZ73,CHINA DEPPON LOGISTICS 'A' (CCS),CN,CNY,50206040.0,88188199.0,311019.0,1026955265.0,0.2155,0.2155,0.2,91305232.04852465,2118450859.5945394,0.0431,MID Cap Index
51198,2023-12-18,1148,CN2G8P,CNE100000ZS4,BD5CFC8,CETC POTEVIO SCI&TECH 'A' (CCS),CN,CNY,15101010.0,119045894.0,311282.0,682694505.0,0.6362,0.6361,0.0943248,127062388.34249552,2117706286.0167723,0.06000000528,MID Cap Index
51191,2023-12-18,1148,CN2XFD,CNE100000XC3,BD5LVN8,SHENZHEN KSTAR SCTC.'A' (CCS),CN,CNY,50202010.0,118513808.0,311182.0,586974094.0,0.4271,0.4271,0.1404823,126927999.06772974,2115466992.0715926,0.059999990329999996,MID Cap Index
