,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33445,2023-12-18,2034,IN511C,INE421D01022,CCL PRODUCTS INDIA,IN,INR,45102020.0,1.0,557908996.0,0.00040369657057497035,BD3B130
33446,2023-12-18,2034,TW30JB,TW0006191000,GLOBAL BRANDS MANF.,TW,TWD,10102015.0,1.0,611533295.0,0.0004424985002104387,6349536
33447,2023-12-18,2034,IN0BCS,INE112L01020,METROPOLIS HEALTHCARE,IN,INR,20102020.0,1.0,506665975.0,0.00036661770647362647,BHHLPD2
33448,2023-12-18,2034,IN607I,INE195J01029,PNC INFRATECH,IN,INR,50101015.0,1.0,676830255.0,0.000489746633884503,BZC0W28
33449,2023-12-18,2034,IN80N0,INE573A01042,J K TYRE & INDS.,IN,INR,40101015.0,1.0,545418099.0,0.0003946583003221903,BTGN050
33450,2023-12-18,2034,KR80O7,KR7078600004,DAEJOO ELT. MATERIALS,KR,KRW,55201020.0,1.0,855952302.0,0.0006193572990766962,B04H0G2
33451,2023-12-18,2034,IN08HU,INE010A01011,PRISM JOHNSON,IN,INR,50101030.0,1.0,315842096.0,0.00022853972944076806,6104337
33452,2023-12-18,2034,HK90MW,KYG4231A1114,HAICHANG OCEAN PARK HOLDINGS,CN,HKD,40501030.0,1.0,523664344.0,0.00037891753192879424,BQWN4M8
33453,2023-12-18,2034,TW02B2,TW0002101003,Nan Kang Tire,TW,TWD,40101015.0,1.0,663618241.0,0.0004801865716155152,6621427
33454,2023-12-18,2034,IN12Z7,INE146L01010,KIRLOSKAR OIL ENGINES,IN,INR,50204030.0,1.0,653368552.0,0.0004727700138463696,B687WY2
33455,2023-12-18,2034,KR01Q2,KR7001740000,SK Networks,KR,KRW,15101010.0,1.0,630880884.0,0.0004564981943974706,B04PZG1
33456,2023-12-18,2034,IN09Q4,INE671H01015,SOBHA DEVELOPERS,IN,INR,35101010.0,1.0,396393281.0,0.0002868256459135148,B1BL581
33457,2023-12-18,2034,B1G6TS,PLDMDVL00012,DOM DEVELOPMENT,PL,PLN,35101010.0,1.0,408069291.0,0.0002952742732502195,B1G6TS9
33458,2023-12-18,2034,BR30EJ,BRCURYACNOR3,CURY CONSTRTUTORA E INCORPORADORA ON,BR,BRL,50101010.0,1.0,463392893.0,0.00033530579910726906,BK93J35
33459,2023-12-18,2034,CL0096,CLP256251073,CAP,CL,CLP,55102010.0,1.0,491457125.0,0.00035561275650614267,2174312
33460,2023-12-18,2034,IN30QY,INE570A01022,ION EXCHANGE INDIA,IN,INR,65102030.0,1.0,861834880.0,0.0006236138652582169,BRBKK74
33461,2023-12-18,2034,MY214R,MYL5185OO003,AFFIN BANK,MY,MYR,30101010.0,0.9187905,467490189.0,0.0003382705556458615,6009454
33462,2023-12-18,2034,TW10UK,TW0006213002,ITEQ,TW,TWD,10102015.0,1.0,583656519.0,0.0004223271838298607,6571492
33463,2023-12-18,2034,IN11T0,INE054A01027,VIP Industries,IN,INR,40204020.0,1.0,593403759.0,0.00042938017524742723,B7648C2
33464,2023-12-18,2034,ZA404H,ZAE000191417,PSG FINANCIAL SERVICES,ZA,ZAR,30202000.0,1.0,775364199.0,0.0005610446691612566,BN898K5
33465,2023-12-18,2034,IN81ES,INE199A01012,Procter & Gamble Health,IN,INR,45201020.0,1.0,483258056.0,0.00034968000392294617,6135843
33466,2023-12-18,2034,TW16FB,TW0005388003,SERCOMM,TW,TWD,15101010.0,1.0,1140958761.0,0.0008255847141478378,6156770
33467,2023-12-18,2034,CN8BM4,KYG5548P1054,LK TECHNOLOGY HOLDINGS,CN,HKD,50204000.0,1.0,334804960.0,0.00024226104101660715,B1FQ7Y2
