STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
KR02U7;6535443;KR7005300009;20190318;1;1.0
B1296H;B1296H0;GRS491003000;20190318;1;1.0
ID7057;BH7HMM8;ID1000130305;20190318;1;1.0
CN1VZU;BFFVV65;CNE1000031B3;20190318;1;1.0
ID80MP;BFNBJ41;ID1000142805;20190318;1;1.0
KR10KW;6510989;KR7012510004;20190318;1;1.0
HK00BC;B1H5082;CNE1000004R6;20190318;1;1.0
KR02GT;6496432;KR7004000006;20190318;1;1.0
KR06J0;B0TLGZ0;KR7085660009;20190318;1;1.0
KR03R5;6405869;KR7011200003;20190318;1;1.0
HK196H;BYZWFF8;KYG1146W1050;20190318;1;1.0
CN8H3R;BYQHQT3;KYG1809X1016;20190318;1;1.0
CN8BQ8;B1XDJC7;KYG8655K1094;20190318;1;1.0
RU103P;B59SPB5;RU000A0JPGA0;20190318;1;1.0
TW04YR;6869971;TW0002812005;20190318;1;1.0
IN068J;6330637;INE780C01023;20190318;1;0.504838
490400;B03MY66;TRATRKCM91F7;20190318;1;1.0
KR060H;6578608;KR7066970005;20190318;1;1.0
ZA807O;6439738;ZAE000003257;20190318;1;1.0
TW07SO;6381828;TW0006116007;20190318;1;1.0
B1B59T;B1B59T2;PLFAMUR00012;20190318;1;1.0
TW08UR;6193915;TW0009940007;20190318;1;1.0
TH70BS;BYZ6CK4;TH7846010Z09;20190318;1;1.0
IN07YA;6121507;INE141A01014;20190318;1;0.3364172
IN0B1H;6701686;INE705A01016;20190318;1;0.814664
ZA105F;B7WF5R3;ZAE000167391;20190318;1;1.0
TW019Z;6898845;TW0001319002;20190318;1;1.0
TH21Q3;6397706;TH0209010Z07;20190318;1;0.6155779
ID4065;BH3WHX3;ID1000130008;20190318;1;1.0
CN1RSJ;BF3BGN9;US83409V1044;20190318;1;1.0
IN11OV;B28SM03;INE262H01013;20190318;1;0.6945429
TH22AO;6592954;TH0617A10Z08;20190318;1;0.5970513
ZA13XA;B3XGCL0;ZAE000156253;20190318;1;1.0
CL7015;B1HNTW3;CL0000002023;20190318;1;1.0
IN16GS;BYSVNL4;INE192B01031;20190318;1;1.0
IN18KY;BFZ31R2;INE778U01029;20190318;1;0.7272727
B064B9;B064B91;PLEURCH00011;20190318;1;1.0
TW05JD;6331373;TW0002903002;20190318;1;1.0
TW01PF;6661519;TW0001710002;20190318;1;1.0
TW10J9;B1GJFG8;TW0003533006;20190318;1;1.0
TW40B4;B94NS14;TW0006414006;20190318;1;1.0
TW03SK;6293989;TW0002441003;20190318;1;1.0
TW046Z;6179733;TW0002501004;20190318;1;1.0
414933;4149330;PLBUDMX00013;20190318;1;1.0
TH501G;BWZ1D13;TH0219010Z06;20190318;1;0.5097373
TW1OCQ;B80VKP3;TW0005274005;20190318;1;1.0
TH20V7;B05BPG8;TH0254A10Z06;20190318;1;0.7324365
IN50DN;6211204;INE670A01012;20190318;1;0.4329785
KR304I;B9C3D99;KR7170900005;20190318;1;1.0
PH20FN;B5BNBK9;PHY6350R1069;20190318;1;1.0
IN80AN;BBJKFV3;INE274F01020;20190318;1;0.4763983
TW306Y;B5SG8Y4;KYG114741062;20190318;1;1.0
KR61WE;BZ0RDZ1;KR7079550000;20190318;1;1.0
HK19R2;BNY7YW7;KYG211241057;20190318;1;1.0
TW02B2;6621427;TW0002101003;20190318;1;1.0
KR801K;BF2RZ42;KR7285130001;20190318;1;1.0
TW02C3;6870876;TW0002103009;20190318;1;1.0
EV027;B590TG4;RU000A0B6NK6;20190318;1;1.0
HK13KP;BH35L96;KYG210AW1064;20190318;1;1.0
ID30GE;B8FQLP0;ID1000123904;20190318;1;1.0
TH50R6;BYMY052;TH1041010Z03;20190318;1;0.9759012
TW021S;6190239;TW0001904001;20190318;1;1.0
PK20NY;6443665;PK0065001015;20190318;1;1.0
ID001W;6875730;ID1000111800;20190318;1;1.0
HK0034;B284BK4;HK1828040670;20190318;1;1.0
TH215I;B99J5K5;TH0308010Y08;20190318;1;0.3811944
CN0V0U;BN320D6;CNE100001SG2;20190318;1;1.0
