,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51067,2023-12-18,1148,CN2NWK,CNE000000TX8,BD5M249,BENGANG STEEL PLATES 'A' (CCS),CN,CNY,55102010.0
51193,2023-12-18,1148,CN2ZHH,CNE000000DM5,BD5CKF6,ADDSINO 'A' (CCS),CN,CNY,50201020.0
51489,2023-12-18,1148,CN0Q2R,CNE1000002N9,B0Y91C1,China National 'H',CN,HKD,50101030.0
51188,2023-12-18,1148,CN3428,CNE1000036Q0,BGRDXR1,BANK OF ZHENGZHOU 'A' (CCS),CN,CNY,30101010.0
51177,2023-12-18,1148,CN2J7R,CNE000000SN1,BP3RLZ4,Three Gorges 'A' (CCS),CN,CNY,65101010.0
51014,2023-12-18,1148,CN2H9R,CNE100000V79,BD5LQX3,NANTONG JNH.CAPACIT.'A' (CCS),CN,CNY,10102015.0
51009,2023-12-18,1148,CN2RVN,CNE1000006B5,BD5C959,HUNAN GOLD CORPORATION 'A' (CCS),CN,CNY,55103025.0
51224,2023-12-18,1148,CN2G7O,CNE100001NY6,BD5CF39,HARBIN BOSHI ATMTN.'A' (CCS),CN,CNY,50204000.0
50794,2023-12-18,1148,CN86U7,US46591M1099,BL3N3C5,JOYY ADR,CN,USD,10101020.0
50972,2023-12-18,1148,CN2P5V,CNE100000X36,BFY8GH3,C&S PAPER 'A' (CCS),CN,CNY,45201020.0
51449,2023-12-18,1148,HK0157,BMG0957L1090,B01YCG0,BEIJING ENTS.WATER GROUP,CN,HKD,65102030.0
51458,2023-12-18,1148,663094,HK0257001336,6630940,CHINA EVERBRIGHT ENVIR. GP.,CN,HKD,65103035.0
51046,2023-12-18,1148,CN2ND1,CNE1000023H7,BYZW4F1,BEIJING DAHAO TECH.'A' (CCS),CN,CNY,50202040.0
51178,2023-12-18,1148,CN2F0G,CNE000000ZF2,BP3RGJ3,GREE REAL ESTATE 'A' (CCS),CN,CNY,35101010.0
51105,2023-12-18,1148,CN31X0,CNE000000H95,BD5LS04,CHINA MERC. PRO. O.&S. 'A' (CCS),CN,CNY,35101015.0
51194,2023-12-18,1148,CN2L0M,CNE000001675,BP3RDY7,Grandblue Enviroment 'A' (CCS),CN,CNY,65103035.0
51034,2023-12-18,1148,CN2OH6,CNE100001X19,BD5M294,MLS 'A' (CCS),CN,CNY,10102010.0
51023,2023-12-18,1148,CN2FCS,CNE000000KN8,BTFRHJ6,CHENGTUN MINING GP.'A' (CCS),CN,CNY,55102050.0
51018,2023-12-18,1148,CN35Z6,CNE100003N01,BK71FL1,QUECTEL WIRELESS SOLUTIONS 'A' (CCS),CN,CNY,15101010.0
