,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
177137,2023-12-18,2027,EW035,PLCMP0000017,COMP SAFE SUPPORT,PL,PLN,10101010,5.686387508628611e-05
173790,2023-12-18,2027,EG00MG,EGS78021C010,EGYPTIAN MEDIA PRDN.CITY,EG,EGP,40301010,5.6586772748541205e-05
173744,2023-12-18,2027,EG8024,EGS512O1C012,IBNSINA PHARMA,EG,EGP,45201015,5.654012714364769e-05
176885,2023-12-18,2027,TR10EZ,TRAKRSTL91A6,KRISTAL KOLA,TR,TRY,45101020,5.6478004982422004e-05
175241,2023-12-18,2027,TH808Q,TH0088010002,BOUND AND BEYOND,TH,THB,40501025,5.598219143800542e-05
176977,2023-12-18,2027,TR00XH,TRAGENTS91C4,GENTAS GENEL METAL SANVETC.,TR,TRY,40202015,5.508671988691391e-05
177220,2023-12-18,2027,PL30DQ,PLXTPL000018,XTPL,PL,PLN,10102015,5.454754454996026e-05
176838,2023-12-18,2027,TR009T,TRAMTEKS91B0,ISIKLAR ENE YAPI AS,TR,TRY,40204020,5.4425492321869587e-05
177301,2023-12-18,2027,MY50TI,MYL4723OO002,JAKS RESOURCES,MY,MYR,50101010,5.394471291662902e-05
176960,2023-12-18,2027,TR20WI,TRAMMART91K7,MARTI OTEL ISLETMELERI,TR,TRY,40501025,5.346475539733193e-05
177364,2023-12-18,2027,MY24I8,MYL3557OO005,ECOFIRST CONSOLIDATED,MY,MYR,35101010,5.3169139607093794e-05
175224,2023-12-18,2027,TH10KV,TH1015A10Z04,STARS MICROELECTRONICS,TH,THB,10102020,5.221507189008916e-05
175226,2023-12-18,2027,TH20MY,TH0800010Z03,SNC FORMER,TH,THB,50202010,5.1755878662913426e-05
175142,2023-12-18,2027,TH50P4,TH0933010009,UNIQUE ENG AND CONSTRUCTION,TH,THB,50101015,5.148702782894192e-05
176827,2023-12-18,2027,TR20M8,TRAESCOM91U8,ESCORT,TR,TRY,10102030,5.135409360776648e-05
177207,2023-12-18,2027,EW037,PLACTIN00018,ACTION,PL,PLN,10102030,5.116522343907091e-05
177013,2023-12-18,2027,TR10VG,TRANUGYO91Q9,NUROL GAYMEN.YATOTA.,TR,TRY,35102000,5.0564651652124716e-05
177524,2023-12-18,2027,CN2607,CNE000000HF0,SHAI.JINJIANG INTL. TRAVEL 'B',CN,USD,40501015,5.0485177821415635e-05
175143,2023-12-18,2027,TH50T8,TH4101010007,ANANDA DEVELOPMENT,TH,THB,35101010,4.995003392308733e-05
177216,2023-12-18,2027,PL503I,PLMBION00016,MABION,PL,PLN,20103010,4.93764028316493e-05
176819,2023-12-18,2027,TR00SC,TREKTMR00015,KMC.ARU.EKIPMAN SANVETC.,TR,TRY,50206015,4.936921997018884e-05
173757,2023-12-18,2027,EG2130,EGS21FW1C015,PIONEERS PROPERTIES,EG,EGP,35101010,4.9107359942743846e-05
177445,2023-12-18,2027,MY10XI,MYL7225OO005,PA RESOURCES,MY,MYR,55102035,4.9074655998911514e-05
176839,2023-12-18,2027,TR20OA,TREIHAS00025,IHLAS HABER AJANSI,TR,TRY,40301030,4.895929848182642e-05
177034,2023-12-18,2027,TR20YK,TRAALYAG91A8,ALTINYAG MADENCILIK VE ENJ.YAT,TR,TRY,45102020,4.895429241858697e-05
176875,2023-12-18,2027,TR107S,TREBZMT00017,BIZIM TOPTAN SATIS MAGAZ. LTD.,TR,TRY,45201010,4.887519661940365e-05
176917,2023-12-18,2027,TR10CX,TRAEGSER91F0,EGE SERAMIK SANVETC.,TR,TRY,50101035,4.8514760066163216e-05
177472,2023-12-18,2027,MY706X,MYL5253OO009,ECONPILE HOLDINGS,MY,MYR,50101015,4.8333354710193326e-05
177321,2023-12-18,2027,MY90F8,MYL5843OO007,KUMPULAN PERANGSANG SELANGOR,MY,MYR,50203000,4.83075171731674e-05
176858,2023-12-18,2027,ET023,TRAKRDMB91G1,KARDEMIR 'B',TR,TRY,55102015,4.818101362503024e-05
176810,2023-12-18,2027,TR00M6,TRAMNDRS91B0,MENDERES,TR,TRY,40204020,4.8008146466330816e-05
173780,2023-12-18,2027,EG10A5,EGS381B1C015,10TH RAMADAN PHARM.& DIAGNOS.,EG,EGP,20103015,4.799903761187626e-05
177475,2023-12-18,2027,MY20F1,MYL7164OO006,KNM GROUP,MY,MYR,60101030,4.7657416434384224e-05
177152,2023-12-18,2027,PL00AK,PLBMDLB00018,SYNTHAVERSE,PL,PLN,20103015,4.758872037231182e-05
177416,2023-12-18,2027,MY20J5,MYL5073OO001,NAIM HOLDINGS,MY,MYR,50101010,4.714291329075843e-05
177177,2023-12-18,2027,PL00CM,PLLUBAW00013,LUBAWA,PL,PLN,50201020,4.708284232266969e-05
176440,2023-12-18,2027,CN255B,CNE000000J10,FOSHAN ELECT.& LTG.'B',CN,HKD,45201030,4.694809688535717e-05
177314,2023-12-18,2027,MY50XM,MYQ0099OO000,SCICOM MSC,MY,MYR,50205020,4.671753331975451e-05
177310,2023-12-18,2027,MY249Z,MYL4634OO001,POS MALAYSIA,MY,MYR,50206040,4.658760380156979e-05
177214,2023-12-18,2027,PL10HS,PLONCTH00011,MOLECURE,PL,PLN,20103010,4.582789360812884e-05
177513,2023-12-18,2027,CN25QW,CNE0000003Y6,SHANGHAI SHIBEI HI-TECH 'B',CN,USD,35101010,4.575378118394787e-05
175159,2023-12-18,2027,TH604K,TH0954010Z08,BETTER WORLD GREEN,TH,THB,65103035,4.5536430440913814e-05
177536,2023-12-18,2027,CN26MT,CNE000000WP8,KAMA 'B',CN,USD,50206015,4.492501404597272e-05
177206,2023-12-18,2027,456453,PLMSTZB00018,MOSTOSTAL ZABRZE,PL,PLN,50101010,4.44802208417539e-05
177193,2023-12-18,2027,PL120D,PLBMECH00012,BUMECH,PL,PLN,50204000,4.445143424554685e-05
177496,2023-12-18,2027,CN26NU,CNE0000013W9,SHANGHAI LINGYUN INDS. 'B',CN,USD,65101010,4.400987487096216e-05
177225,2023-12-18,2027,B06WK7,PLBIOTN00029,BIOTON,PL,PLN,20103010,4.369890827137784e-05
173784,2023-12-18,2027,EG20ZV,EGS693V1C014,ORASCOM INVESTMENT HOLDING,EG,EGP,15102015,4.34491608705988e-05
177492,2023-12-18,2027,CN25IO,CNE000000FY5,SHANG GONG GROUP 'B',CN,USD,50204050,4.298545268170092e-05
177509,2023-12-18,2027,CN25BH,CNE000000BY4,SHAI.JNJNG.ONLINE NETWK SEV'B',CN,USD,40401030,4.2242405184745076e-05
177208,2023-12-18,2027,PL11LX,PLMRVDV00011,MARVIPOL DEVELOPMENT,PL,PLN,35101010,4.221588645379315e-05
176898,2023-12-18,2027,TR00RB,TREGREL00017,GERSAN ELEKTRIK,TR,TRY,50202040,4.193879539482097e-05
176815,2023-12-18,2027,TR11ZL,TRETRLC00022,TURK ILAC VE SERUM SANAYI,TR,TRY,20103015,4.121310845792904e-05
