Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;B019M6;IT0003261697;B019M65;AZMT.MI;;AZIMUT HLDG;IT;EUR;Milan;8771;143254497;0.7249;1.0;;;18.5000000;1.0000000;1921135923;1921135923;0.05743;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;B0704T;AT0000606306;B0704T9;RBIV.VI;;RAIFFEISEN BANK INTERNATIONAL;AT;EUR;XETRA(AT);8355;292979038;0.3930;1.0;;;16.6400000;1.0000000;1915942280;1915942280;0.05727;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;597598;IT0004827447;B89YH96;US.MI;;UNIPOLSAI;IT;EUR;Milan;8536;2275632026;0.3660;1.0;;;2.3000000;1.0000000;1915627041;1915627041;0.05726;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;444747;FI0009000459;4447476;HUH1V.HE;;HUHTAMAKI;FI;EUR;OMX(FI);2723;107760385;0.8561;1.0;;;20.3800000;1.0000000;1880129713;1880129713;0.05620;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;449123;IE0004927939;4491235;KSP.I;;KINGSPAN GRP;IE;EUR;XETRA(IE);2353;171321563;0.8232;1.0;;;12.9600000;1.0000000;1827773567;1827773567;0.05464;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;710755;DE0005773303;7107551;FRAG.DE;;FRAPORT;DE;EUR;XETRA(DE);2777;92342748;0.4018;1.0;;;49.1150000;1.0000000;1822329365;1822329365;0.05448;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;733945;FR0000184798;7339451;ORP.PA;;ORPEA;FR;EUR;EURONEXT(FR);4533;55476991;0.6394;1.0;;;50.6600000;1.0000000;1797010912;1797010912;0.05372;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;713666;FR0000077919;7136663;JCDX.PA;;JCDECAUX;FR;EUR;EURONEXT(FR);5555;223488575;0.3018;1.0;;;26.4500000;1.0000000;1784022135;1784022135;0.05333;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;888051;NL0000334118;5165294;ASMI.AS;;ASM INTERNATIONAL;NL;EUR;EURONEXT(NL);9576;63650948;0.8217;1.0;;;33.7250000;1.0000000;1763884410;1763884410;0.05273;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;538675;DE0007251803;5386750;STAGn.DE;;STADA ARZNEIMITTEL;DE;EUR;XETRA(DE);4577;60474100;1.0;1.0;;;28.9600000;1.0000000;1751329936;1751329936;0.05235;
