,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,SEDOL,Capfactor,Mcap_Units_Index_Currency
376,2019-03-18,1330,TW055Z,TW0002845005,Far Eastern Bk,TW,TWD,30101010.0,0.001265081156656568,6328450,1.0,1182645027.0
377,2019-03-18,1330,ID20A7,ID1000115306,CIPUTRA DEVELOPMENT,ID,IDR,35101010.0,0.0006868986795799933,6291767,1.0,642138493.0
378,2019-03-18,1330,CN8DZJ,KYG843961031,CHINA TIAN LUN GAS HDG.,CN,HKD,65102020.0,0.00038352348030226577,B5LKNN7,1.0,358532047.0
379,2019-03-18,1330,TW6050,TW0005269005,ASMEDIA TECHNOLOGY,TW,TWD,10102010.0,0.0005790348318311,B6ZZQ69,1.0,541303347.0
380,2019-03-18,1330,IN12X5,INE591G01017,NIIT TECHNOLOGIES,IN,INR,10101010.0,0.0006214948768730672,B02PD81,0.6401881,580996580.0
381,2019-03-18,1330,CN1PVK,KYG5138B1023,JINCHUAN GROUP INTERNATIONAL RESOURCES,CN,HKD,35101010.0,0.00026479486365581624,6373988,1.0,247540110.0
382,2019-03-18,1330,CN8C9S,KYG6427W1042,NETDRAGON WEBSOFT,CN,HKD,40203045.0,0.0004882822475593447,B28SXZ5,1.0,456464448.0
383,2019-03-18,1330,ID3031,ID1000107600,WIJAYA KARYA,ID,IDR,50101010.0,0.00045657372710781525,B28V4M8,1.0,426822141.0
384,2019-03-18,1330,TW5060,TW0008454000,MOMO.COM,TW,TWD,40401010.0,0.00036549602529248033,BJYP111,1.0,341679310.0
385,2019-03-18,1330,IN11U1,INE042A01014,Escorts Ltd,IN,INR,50204010.0,0.0007358228100105876,6099875,0.8787661,687874594.0
386,2019-03-18,1330,IN11BI,INE371A01025,GRAPHITE INDIA,IN,INR,55201020.0,0.0003371700165025007,B1KMXR0,0.6185567,315199101.0
387,2019-03-18,1330,KR02U7,KR7005300009,Lotte Chilsung,KR,KRW,45101020.0,0.000513823592048142,6535443,1.0,480341449.0
388,2019-03-18,1330,B1296H,GRS491003000,GRIVALIA PROPERTIES REIC,GR,EUR,35102070.0,0.0005501192059900993,B1296H0,1.0,514271942.0
389,2019-03-18,1330,CN1VZU,CNE1000031B3,JIANGXI BANK 'H',CN,HKD,35101010.0,0.0004402592012193779,BFFVV65,1.0,411570714.0
390,2019-03-18,1330,RU103P,RU000A0JPGA0,M VIDEO,RU,RUB,40401030.0,0.0005631787290386795,B59SPB5,1.0,526480471.0
392,2019-03-18,1330,KR10KW,KR7012510004,DOUZONE BIZON,KR,KRW,10101015.0,0.0008222164945157302,6510989,1.0,768638631.0
496,2019-03-18,1330,TW10SI,TW0009941005,YULON FINANCE,TW,TWD,30201020.0,0.0005376548966884721,6201465,1.0,502619841.0
497,2019-03-18,1330,TW06JE,TW0003443008,GUC,TW,TWD,10102010.0,0.0006227878441373578,B056381,1.0,582205294.0
498,2019-03-18,1330,ZA20MX,ZAE000057428,REUNERT,ZA,ZAR,50202010.0,0.0007239117777457991,6728726,1.0,676739717.0
604,2019-03-18,1330,IN80AN,INE274F01020,WESTLIFE DEVELOPMENT,IN,INR,40501040.0,0.00016861446738879236,BBJKFV3,0.4763983,157627090.0
605,2019-03-18,1330,TH50R6,TH1041010Z03,GUNKUL ENGINEERING,TH,THB,50202010.0,0.0003779886764249023,BYMY052,0.9759012,353357906.0
606,2019-03-18,1330,TW306Y,KYG114741062,BIZLINK HOLDING,TW,TWD,10102030.0,0.000820197087458336,B5SG8Y4,1.0,766750814.0
607,2019-03-18,1330,KR61WE,KR7079550000,LIGNEX1,KR,KRW,50201020.0,0.00041473735103231317,BZ0RDZ1,1.0,387711937.0
608,2019-03-18,1330,HK19R2,KYG211241057,CHINA AIRCRAFT LEASING GROUP HOLDINGS,CN,HKD,50201010.0,0.000320340675885889,BNY7YW7,1.0,299466406.0
609,2019-03-18,1330,TW02B2,TW0002101003,Nan Kang Tire,TW,TWD,40101015.0,0.0005331347068200573,6621427,1.0,498394199.0
610,2019-03-18,1330,KR801K,KR7285130001,SK CHEMICALS,KR,KRW,55201010.0,0.0005282964305782389,BF2RZ42,1.0,493871198.0
603,2019-03-18,1330,KR304I,KR7170900005,DONG-A ST,KR,KRW,20103015.0,0.0005336670732659023,B9C3D99,1.0,498891875.0
